antecedents,consequents,antecedent_names,consequent_names,support,confidence,lift,conviction,antecedent_len,consequent_len
['spotify:track:2N3F1EQCpnIeDOA3rLSAfE'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Break Up In A Small Town'],['House Party'],0.005334010668021336,0.5,34.84070796460177,1.9712979425958852,1,1
['spotify:track:1TKlBK9cSrM5u4CiL4SETS'],['spotify:track:05ZACkzW8YbRq3eFgIfSNB'],['Talladega'],['Springsteen'],0.005334010668021336,0.48837209302325585,31.26375496313103,1.9240134389359687,1,1
['spotify:track:3b7CDTKB0SRTmQ6ytYi5vZ'],['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],['Drunk On You'],['Play It Again'],0.005334010668021336,0.46153846153846156,33.03776223776224,1.8311985195398963,1,1
['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],['Leave The Night On'],['Play It Again'],0.005334010668021336,0.42857142857142855,30.677922077922076,1.7255524511049023,1,1
['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['This Is How We Roll'],"[""That's My Kind Of Night""]",0.005334010668021336,0.42000000000000004,31.798846153846156,1.7013654716964608,1,1
['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],"[""That's My Kind Of Night""]",['This Is How We Roll'],0.005334010668021336,0.40384615384615385,31.798846153846156,1.6561160864257214,1,1
"['spotify:track:1yEwEiTpsaPhQi9lb5EVV4', 'spotify:track:5kjyiH6but1t2UDXq15aeS']",['spotify:track:4dGJf1SER1T6ooX46vwzRB'],"['Knee Deep (feat. Jimmy Buffett)', 'Toes']",['Chicken Fried'],0.005207010414020828,0.7321428571428571,46.11914285714286,3.6740665481330956,2,1
"['spotify:track:1yEwEiTpsaPhQi9lb5EVV4', 'spotify:track:4dGJf1SER1T6ooX46vwzRB']",['spotify:track:5kjyiH6but1t2UDXq15aeS'],"['Knee Deep (feat. Jimmy Buffett)', 'Chicken Fried']",['Toes'],0.005207010414020828,0.6949152542372881,58.21024161557879,3.238647588406287,2,1
"['spotify:track:4dGJf1SER1T6ooX46vwzRB', 'spotify:track:5kjyiH6but1t2UDXq15aeS']",['spotify:track:1yEwEiTpsaPhQi9lb5EVV4'],"['Chicken Fried', 'Toes']",['Knee Deep (feat. Jimmy Buffett)'],0.005207010414020828,0.6833333333333333,54.90374149659864,3.1185915003408953,2,1
['spotify:track:4P5KoWXOxwuobLmHXLMobV'],['spotify:track:5ghIJDpPoe3CfHMGu71E6T'],['Come As You Are'],['Smells Like Teen Spirit'],0.005207010414020828,0.5694444444444444,44.394114411441144,2.292788843642203,1,1
['spotify:track:67T6l4q3zVjC5nZZPXByU8'],['spotify:track:4E5P1XyAFtrjpiIxkydly4'],['Whatcha Say'],['Replay'],0.005207010414020828,0.5189873417721519,40.86506329113924,2.0525446840367363,1,1
['spotify:track:1zWZvrk13cL8Sl3VLeG57F'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['T-Shirt'],['Die A Happy Man'],0.005207010414020828,0.4939759036144578,30.626506024096386,1.9443164362519199,1,1
['spotify:track:2N3F1EQCpnIeDOA3rLSAfE'],['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['Break Up In A Small Town'],['Leave The Night On'],0.005207010414020828,0.488095238095238,39.216958211856166,1.9291752071876234,1,1
['spotify:track:6fAyRZ0GHuuvSOEIOwi58N'],['spotify:track:439TlnnznSiBbQbgXiBqAd'],['Backseat Freestyle'],['m.A.A.d city'],0.005207010414020828,0.46590909090909083,24.787622850122844,1.8371478445084548,1,1
['spotify:track:3b7CDTKB0SRTmQ6ytYi5vZ'],['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['Drunk On You'],"[""That's My Kind Of Night""]",0.005207010414020828,0.4505494505494505,34.111792054099745,1.7959613919227837,1,1
['spotify:track:1dgWTMoHwTUnQhOQ8SR5fV'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['American Kids'],['Chicken Fried'],0.005207010414020828,0.44565217391304346,28.072521739130437,1.7752842564508657,1,1
['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['spotify:track:2N3F1EQCpnIeDOA3rLSAfE'],['Leave The Night On'],['Break Up In A Small Town'],0.005207010414020828,0.4183673469387755,39.216958211856166,1.7009567352468036,1,1
['spotify:track:4E5P1XyAFtrjpiIxkydly4'],['spotify:track:67T6l4q3zVjC5nZZPXByU8'],['Replay'],['Whatcha Say'],0.005207010414020828,0.41,40.865063291139236,1.6779101354812878,1,1
['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],['This Is How We Roll'],['Play It Again'],0.005207010414020828,0.41,29.348545454545455,1.6712372407795661,1,1
['spotify:track:5ghIJDpPoe3CfHMGu71E6T'],['spotify:track:4P5KoWXOxwuobLmHXLMobV'],['Smells Like Teen Spirit'],['Come As You Are'],0.005207010414020828,0.4059405940594059,44.394114411441144,1.6679409025484715,1,1
['spotify:track:0Fv5N0cHBsl4bzCbollCAS'],['spotify:track:0SGkqnVQo9KPytSri1H6cF'],['Moves'],['Bounce Back'],0.00508001016002032,0.48780487804878053,23.420582986317672,1.9117166805762182,1,1
['spotify:track:6875MeXyCW0wLyT72Eetmo'],['spotify:track:7BKLCZ1jbUBVqRi2FVlTVw'],['Starving'],['Closer'],0.00508001016002032,0.46511627906976744,18.130324660373013,1.8216032953805037,1,1
['spotify:track:60xaS8mYBKUW4VQQ666N0T'],['spotify:track:0v9Wz8o0BT8DU38R4ddjeH'],['All Night (feat. Knox Fortune)'],['No Problem (feat. Lil Wayne & 2 Chainz)'],0.00508001016002032,0.4347826086956522,17.73822933093039,1.7258650671147497,1,1
['spotify:track:1f5cbQtDrykjarZVrShaDI'],['spotify:track:7GX5flRQZVHRAGd6B4TmDO'],['Drowning (feat. Kodak Black)'],['XO TOUR Llif3'],0.00508001016002032,0.4,23.860606060606063,1.6387266107865548,1,1
['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],['spotify:track:0i5el041vd6nxrGEU8QRxy'],['This Is How We Roll'],['Cruise'],0.00508001016002032,0.4,27.87256637168142,1.6427482854965711,1,1
['spotify:track:0Nu9WA8kEbBWEsay2s8Q0U'],['spotify:track:05ZACkzW8YbRq3eFgIfSNB'],['Even If It Breaks Your Heart'],['Springsteen'],0.004953009906019812,0.5492957746478874,35.16386121607695,2.184090836931674,1,1
['spotify:track:7nDoBWDvf02SyD8kEQuuPO'],['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],['Bottoms Up'],['This Is How We Roll'],0.004953009906019812,0.527027027027027,41.498108108108106,2.087434232011321,1,1
['spotify:track:5T8EDUDqKcs6OSOwEsfqG7'],['spotify:track:1AhDOtG9vPSOmsWgNW0BEY'],"[""Don't Stop Me Now - Remastered""]",['Bohemian Rhapsody - Remastered 2011'],0.004953009906019812,0.5064935064935064,24.467054417974662,1.9843689424220952,1,1
['spotify:track:0H04yVa3DJxoXbLBpAb7iV'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],"[""I'm Comin' Over""]",['Die A Happy Man'],0.004953009906019812,0.5,31.0,1.967741935483871,1,1
['spotify:track:3pzjHKrQSvXGHQ98dx18HI'],['spotify:track:69bp2EbF7Q2rqc5N3ylezZ'],['What Do You Mean?'],['Sorry'],0.004953009906019812,0.4382022471910112,27.168539325842694,1.751290322580645,1,1
['spotify:track:2Oehrcv4Kov0SuIgWyQY9e'],['spotify:track:6Ep6BzIOB9tz3P4sWqiiAB'],['Demons'],['Radioactive'],0.004953009906019812,0.4333333333333333,36.68888888888888,1.743862899490505,1,1
['spotify:track:6Ep6BzIOB9tz3P4sWqiiAB'],['spotify:track:2Oehrcv4Kov0SuIgWyQY9e'],['Radioactive'],['Demons'],0.004953009906019812,0.4193548387096774,36.68888888888888,1.7025371828521434,1,1
['spotify:track:46ZfPS5VpSQVU5gb82hg3K'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['Anything Goes'],['Die A Happy Man'],0.004826009652019304,0.5,31.0,1.967741935483871,1,1
['spotify:track:5CG9Ps5ynNjpKJHmwc95pa'],['spotify:track:1zWZvrk13cL8Sl3VLeG57F'],['Somewhere On A Beach'],['T-Shirt'],0.004826009652019304,0.5,47.433734939759034,1.9789179578359157,1,1
['spotify:track:5T6DM9qjjngWnukcw0svkX'],['spotify:track:0i5el041vd6nxrGEU8QRxy'],['Round Here'],['Cruise'],0.004826009652019304,0.4578313253012048,31.90233500373174,1.8179747692828716,1,1
['spotify:track:1zWZvrk13cL8Sl3VLeG57F'],['spotify:track:5CG9Ps5ynNjpKJHmwc95pa'],['T-Shirt'],['Somewhere On A Beach'],0.004826009652019304,0.4578313253012048,47.433734939759034,1.8266418310614396,1,1
['spotify:track:2N3F1EQCpnIeDOA3rLSAfE'],['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['Break Up In A Small Town'],['Take Your Time'],0.004826009652019304,0.4523809523809524,36.722140402552775,1.8035913463131272,1,1
['spotify:track:5vdp5UmvTsnMEMESIF2Ym7'],['spotify:track:1AhDOtG9vPSOmsWgNW0BEY'],['Another One Bites The Dust - Remastered 2011'],['Bohemian Rhapsody - Remastered 2011'],0.004826009652019304,0.4470588235294118,21.59595813785637,1.7710725846983606,1,1
['spotify:track:10I3CmmwT0BkOVhduDy53o'],['spotify:track:0wdKiSBUT7aZkXUIdJWcwC'],['Really Really'],['2 Phones'],0.004826009652019304,0.4418604651162791,39.09223935197283,1.7714154178308357,1,1
['spotify:track:5nN8BwAQDJDguq7Dpd3JQQ'],['spotify:track:27GmP9AWRs744SzKcpJsTZ'],['Where Ya At'],['Jumpman'],0.004826009652019304,0.43181818181818177,17.34763450834879,1.7161899923799846,1,1
['spotify:track:0wdKiSBUT7aZkXUIdJWcwC'],['spotify:track:10I3CmmwT0BkOVhduDy53o'],['2 Phones'],['Really Really'],0.004826009652019304,0.42696629213483145,39.09223935197282,1.7260380403113746,1,1
['spotify:track:1WoOzgvz6CgH4pX6a1RKGp'],['spotify:track:2d8JP84HNLKhmd6IYOoupQ'],['My Way (feat. Monty)'],['Trap Queen'],0.004826009652019304,0.42696629213483145,22.117977528089888,1.7114105992917867,1,1
['spotify:track:3b7CDTKB0SRTmQ6ytYi5vZ'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['Drunk On You'],['Chicken Fried'],0.004826009652019304,0.41758241758241754,26.30435164835165,1.6897240020895135,1,1
['spotify:track:0bVtevEgtDIeRjCJbK3Lmv'],['spotify:track:7o2CTH4ctstm8TNelqjb51'],['Welcome To The Jungle'],"[""Sweet Child O' Mine""]",0.004699009398018796,0.5285714285714286,39.263881401617255,2.0926563065247343,1,1
['spotify:track:2l57cfmCnOkwNX1tky02n1'],['spotify:track:5lDriBxJd22IhOH9zTcFrV'],['Move Along'],['Dirty Little Secret'],0.004699009398018796,0.5211267605633804,46.62900128040974,2.06489712979426,1,1
['spotify:track:5BbYPT6ehZf0hSv2su6JAl'],['spotify:track:7vWGeYZJUzBXKGPro05UXS'],['Make You Miss Me'],['Take Your Time'],0.004699009398018796,0.5,40.58762886597938,1.9753619507239015,1,1
['spotify:track:6GsAD8PgHxmEuIPTG8GP3M'],['spotify:track:4O1CExxinEpKZi3861NlTK'],['It Goes Like This'],['Get Me Some Of That'],0.004699009398018796,0.4868421052631579,46.1854787571338,1.9281764717375591,1,1
['spotify:track:4O1CExxinEpKZi3861NlTK'],['spotify:track:6GsAD8PgHxmEuIPTG8GP3M'],['Get Me Some Of That'],['It Goes Like This'],0.004699009398018796,0.44578313253012053,46.1854787571338,1.786932226038365,1,1
['spotify:track:5T6DM9qjjngWnukcw0svkX'],['spotify:track:2TR7A4ulH9R1PNwMyd8o8U'],['Round Here'],['This Is How We Roll'],0.004699009398018796,0.44578313253012053,35.10096385542169,1.7814325628651257,1,1
['spotify:track:48UPSzbZjgc449aqz8bxox'],['spotify:track:3d9DChrdc6BOeFsbrZ3Is0'],['Californication'],['Under The Bridge'],0.004699009398018796,0.44578313253012053,38.572487753210645,1.7834949365550905,1,1
['spotify:track:04DwTuZ2VBdJCCC5TROn7L'],['spotify:track:7BKLCZ1jbUBVqRi2FVlTVw'],['In the Name of Love'],['Closer'],0.004699009398018796,0.4302325581395349,16.77055031084504,1.7100765630102692,1,1
['spotify:track:3ESSGgWzRf1xvP7G5hHMhB'],['spotify:track:5NQbUaeTEOGdD6hHcre0dZ'],['Again'],['679 (feat. Remy Boyz)'],0.004699009398018796,0.4302325581395349,21.30598215591634,1.7196611944244298,1,1
['spotify:track:5lDriBxJd22IhOH9zTcFrV'],['spotify:track:2l57cfmCnOkwNX1tky02n1'],['Dirty Little Secret'],['Move Along'],0.004699009398018796,0.42045454545454547,46.62900128040974,1.7099314198628395,1,1
['spotify:track:2Fk0WwAqTBesLtKg97nojy'],['spotify:track:1soxUgYIZb1qx1c7o1Lc7z'],['Crash And Burn'],['Drunk On A Plane'],0.004699009398018796,0.42045454545454547,33.78223562152134,1.704014702147051,1,1
['spotify:track:2Fk0WwAqTBesLtKg97nojy'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Crash And Burn'],['House Party'],0.004699009398018796,0.42045454545454547,29.2978680611424,1.700727636749391,1,1
['spotify:track:3b7CDTKB0SRTmQ6ytYi5vZ'],['spotify:track:0i5el041vd6nxrGEU8QRxy'],['Drunk On You'],['Cruise'],0.004699009398018796,0.4065934065934066,28.332004278906936,1.6610010442243106,1,1
['spotify:track:3d9DChrdc6BOeFsbrZ3Is0'],['spotify:track:48UPSzbZjgc449aqz8bxox'],['Under The Bridge'],['Californication'],0.004699009398018796,0.4065934065934066,38.572487753210645,1.667421612621003,1,1
['spotify:track:5SZ6zX4rOrEQferfFC2MfP'],['spotify:track:5MxNLUsfh7uzROypsoO5qe'],['Walk This Way'],['Dream On'],0.004572009144018288,0.5806451612903226,52.55172413793104,2.3582677165354333,1,1
['spotify:track:6IFPfV8PNSYOmufzQ95hmm'],['spotify:track:5kNe7PE09d6Kvw5pAsx23n'],['Confession'],['Die A Happy Man'],0.004572009144018288,0.5714285714285714,35.42857142857143,2.2956989247311825,1,1
['spotify:track:4wFUdSCer8bdQsrp1M90sa'],['spotify:track:05ZACkzW8YbRq3eFgIfSNB'],"[""Highway Don't Care""]",['Springsteen'],0.004572009144018288,0.4931506849315068,31.569662545940528,1.942153100522417,1,1
['spotify:track:2fuCquhmrzHpu5xcA1ci9x'],['spotify:track:1AhDOtG9vPSOmsWgNW0BEY'],['Under Pressure - Remastered 2011'],['Bohemian Rhapsody - Remastered 2011'],0.004572009144018288,0.4675324675324675,22.584973308899688,1.8391712149277955,1,1
['spotify:track:1cktZnxiONH0hR6Q3DKy8h'],['spotify:track:05ZACkzW8YbRq3eFgIfSNB'],['Drink In My Hand'],['Springsteen'],0.004572009144018288,0.4675324675324675,29.92968007602154,1.8487117218136873,1,1
['spotify:track:5ZManJDV3CexO66nRCkdiV'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Break Up with Him'],['House Party'],0.004572009144018288,0.46153846153846156,32.16065350578625,1.8304909466961792,1,1
['spotify:track:7zBPzAjKAqQpcv8F8GCq5s'],['spotify:track:7yyRTcZmCiyzzJlNzGC9Ol'],['Uber Everywhere'],['Broccoli (feat. Lil Yachty)'],0.004572009144018288,0.46153846153846156,16.296654018627112,1.8045466090932183,1,1
['spotify:track:0yD66650JxhqKbW76C2qCo'],['spotify:track:5HGibWoxnkYSkl6mHmAlOE'],['Country Girl (Shake It For Me)'],"[""That's My Kind Of Night""]",0.004572009144018288,0.46153846153846156,34.943786982248525,1.8326136652273306,1,1
['spotify:track:5T6DM9qjjngWnukcw0svkX'],['spotify:track:03fT3OHB9KyMtGMt2zwqCT'],['Round Here'],['Play It Again'],0.004572009144018288,0.43373493975903615,31.047535596933187,1.7412869719356463,1,1
['spotify:track:5MxNLUsfh7uzROypsoO5qe'],['spotify:track:5SZ6zX4rOrEQferfFC2MfP'],['Dream On'],['Walk This Way'],0.004572009144018288,0.41379310344827586,52.55172413793103,1.6924502084298285,1,1
['spotify:track:2Fk0WwAqTBesLtKg97nojy'],['spotify:track:6eYYm2xwrvdav2yakF3cqg'],['Crash And Burn'],['Leave The Night On'],0.004572009144018288,0.40909090909090906,32.86920222634508,1.6712451886442232,1,1
['spotify:track:79XrkTOfV1AqySNjVlygpW'],['spotify:track:27GmP9AWRs744SzKcpJsTZ'],['Energy'],['Jumpman'],0.004572009144018288,0.4044943820224719,16.24994267369869,1.637445425834248,1,1
['spotify:track:24NwBd5vZ2CK8VOQVnqdxr'],['spotify:track:5MxNLUsfh7uzROypsoO5qe'],['Sweet Emotion'],['Dream On'],0.00444500889001778,0.5833333333333334,52.79501915708813,2.3734823469646944,1,1
['spotify:track:3YBZIN3rekqsKxbJc9FZko'],['spotify:track:7o2CTH4ctstm8TNelqjb51'],['Paradise City'],"[""Sweet Child O' Mine""]",0.00444500889001778,0.5303030303030303,39.392510005717554,2.1003711684842723,1,1
['spotify:track:6cmm1LMvZdB5zsCwX5BjqE'],['spotify:track:4E5P1XyAFtrjpiIxkydly4'],['Down'],['Replay'],0.00444500889001778,0.47297297297297297,37.24189189189189,1.8733384133434936,1,1
['spotify:track:0p1HtkrNYxv0iDfEKwXSTp'],['spotify:track:2FviG1Ma0M0BSZbqaDvw0x'],['Sangria'],['House Party'],0.00444500889001778,0.46052631578947373,32.09012575687006,1.8270566297230155,1,1
['spotify:track:1qwnPVOIJjAFfCc40Etb1D'],['spotify:track:4dGJf1SER1T6ooX46vwzRB'],['Homegrown'],['Chicken Fried'],0.00444500889001778,0.4375,27.559,1.749555499110998,1,1
