pid,name,num_tracks,num_samples,num_holdouts,actual_track_count
1000410,dB^),64,5,59,5
1000419,Christmas🎄,56,5,51,5
1000422,Skating,53,5,48,5
1000430,Grad Party,72,5,67,5
1000433,rock,74,5,69,5
1000440,Ohana ,70,5,65,5
1000444,💗💗💗,53,5,48,5
1000450,2014,54,5,49,5
1000451,oh yeah,93,5,88,5
1000453,morning tunes,73,5,68,5
1000461,Adventure Of A Lifetime,82,5,77,5
1000464,Ema,54,5,49,5
1000472,RL,66,5,61,5
1000478,chill��,52,5,47,5
1000480,Summer 2k17,55,5,50,5
1000484,Dancehall,57,5,52,5
1000485,Movies,92,5,87,5
1000486,work out,68,5,63,5
1000487,My songs,53,5,48,5
1000489,depp,96,5,91,5
1000494,Chill out,56,5,51,5
1000495,tgif,53,5,48,5
1000500,rock,59,5,54,5
1000501,Cool music,66,5,61,5
1000514,Nashville,79,5,74,5
1000517,Sunday,75,5,70,5
1000521,Old School,85,5,80,5
1000538,blast,64,5,59,5
1000561,Popular,52,5,47,5
1000564,UNDERRATED,52,5,47,5
1000576,90s,61,5,56,5
1000577,Christmas,65,5,60,5
1000578,tranquility,58,5,53,5
1000580,jams,76,5,71,5
1000581,español,91,5,86,5
1000586,Rap Music,100,5,95,5
1000592,seattle,76,5,71,5
1000597,80s,80,5,75,5
1000600,Alyssa :),52,5,47,5
1000602,Happy,61,5,56,5
1000606,Beachy,77,5,72,5
1000620,GOLDIES,62,5,57,5
1000625,Rap,86,5,81,5
1000631,Workout,53,5,48,5
1000635,fresh,53,5,48,5
1000639,Summer '16,100,5,95,5
1000640,SHOWER,84,5,79,5
1000642,EPIC!!!,53,5,48,5
1000653,wedding,89,5,84,5
1000655,Throwback,82,5,77,5
1000660,BLACKOUT,67,5,62,5
1000663,seattle,78,5,73,5
1000671,yee haw,88,5,83,5
1000673,milk,51,5,46,5
1000678,JAM,58,5,53,5
1000680,Line dances,52,5,47,5
1000686,in my bag,72,5,67,5
1000688,<3,62,5,57,5
1000702,Throwback Rock,83,5,78,5
1000712,summer,96,5,91,5
1000723,groovy baby,97,5,92,5
1000725,Mood,82,5,77,5
1000733,Hip-Hop,74,5,69,5
1000740,Rainy Daze,62,5,57,5
1000743,low,63,5,58,5
1000748,English,85,5,80,5
1000750,Game Day,73,5,68,5
1000751,Wedding ,87,5,82,5
1000756,Mix,87,5,82,5
1000757,Mushy,80,5,75,5
1000765,workout,54,5,49,5
1000780,Oldies!!,53,5,48,5
1000787,running,59,5,54,5
1000788,Old School Love,76,5,71,5
1000789,spring,61,5,56,5
1000791,party,66,5,61,5
1000793,viejitas,68,5,63,5
1000795,sing along ,57,5,52,5
1000800,Worship,99,5,94,5
1000801,Rap,54,5,49,5
1000802,Rock,67,5,62,5
1000803,Hip Hop,69,5,64,5
1000816,throwback,63,5,58,5
1000823,BAM,53,5,48,5
1000827,Wanderlust!,58,5,53,5
1000830,CC17,81,5,76,5
1000843,HALF MARATHON,62,5,57,5
1000844,Wedding Playlist ,94,5,89,5
1000846,savannah,92,5,87,5
1000857,90s-2000s,80,5,75,5
1000859,Gym,71,5,66,5
1000862,Jams,83,5,78,5
1000863,Good Music,71,5,66,5
1000864,boolin,74,5,69,5
1000877,lit,91,5,86,5
1000884,lit,72,5,67,5
1000886,Christmas🎄,59,5,54,5
1000889,throwback ,67,5,62,5
1000900,4th of July,93,5,88,5
1000911,Birthday,57,5,52,5
1000916,Classics,91,5,86,5
1000921,Country <3,76,5,71,5
1000922,Update,67,5,62,5
1000923,RASTAFARI,99,5,94,5
1000936,stuffs,68,5,63,5
1000938,HipHop,62,5,57,5
1000941,2016,66,5,61,5
1000950,Music,96,5,91,5
1000983,Favorite songs,97,5,92,5
1000995,clasicos,96,5,91,5
1000997,Sigh...,100,5,95,5
1000999,dirt road,76,5,71,5
1001010,Favorite,76,5,71,5
1001020,idk,66,5,61,5
1001021,Aye ,80,5,75,5
1001024,Classics,57,5,52,5
1001036,Feels,59,5,54,5
1001038,workout mix,74,5,69,5
1001039,❄️,72,5,67,5
1001043,2015 Top Tracks,100,5,95,5
1001046,slow and steady,99,5,94,5
1001047,Chillin,65,5,60,5
1001049,Chill beats ,65,5,60,5
1001050,Favorite,78,5,73,5
1001055,Best MIX,60,5,55,5
1001064,Love songs,65,5,60,5
1001065,Windows Down,56,5,51,5
1001067,Hurt,66,5,61,5
1001068,Fire,69,5,64,5
1001070,jesus tunes,65,5,60,5
1001072,Rap,51,5,46,5
1001093,Lindsey Stirling,54,5,49,5
1001105,Groovin,73,5,68,5
1001106,camp playlist,61,5,56,5
1001116,June 15,76,5,71,5
1001120,Mmmm,67,5,62,5
1001125,Music,75,5,70,5
1001128,Oldies But Goodies,52,5,47,5
1001131,Good Stuff,57,5,52,5
1001132,TBT,61,5,56,5
1001140,Chill Pop,91,5,86,5
1001152,road tunes,97,5,92,5
1001157,Abc,77,5,72,5
1001163,summer2k17,93,5,88,5
1001171,Sleepyhead,71,5,66,5
1001182,sometimes,69,5,64,5
1001184,FM,88,5,83,5
1001187,driving playlist,64,5,59,5
1001189,Simmer Down,83,5,78,5
1001202,Driving,89,5,84,5
1001215,Slide,68,5,63,5
1001216,river ,70,5,65,5
1001220,Connor,86,5,81,5
1001222,Lizzie,91,5,86,5
1001237,grooves,78,5,73,5
1001243,obx,76,5,71,5
1001244,class,83,5,78,5
1001254,Random.,68,5,63,5
1001255,Cleaning,65,5,60,5
1001258,OG playlist,93,5,88,5
1001261,my country,85,5,80,5
1001262,Country jams,94,5,89,5
1001265,70s,51,5,46,5
1001270,Coffee Shop,78,5,73,5
1001282,bliss,62,5,57,5
1001289,classical,56,5,51,5
1001292,old,58,5,53,5
1001294,Chill Music,74,5,69,5
1001297,Haus,73,5,68,5
1001301,Memories...,71,5,66,5
1001302,La Fiesta,63,5,58,5
1001306,Rap,80,5,75,5
1001307,Musicals,89,5,84,5
1001314,never gets old,52,5,47,5
1001321,femme ,98,5,93,5
1001326,🔥🔥🔥,67,5,62,5
1001328,Christmas Jazz,63,5,58,5
1001331,kenzie ,87,5,82,5
1001334,TBT,65,5,60,5
1001341,Favorite Songs,63,5,58,5
1001344,Jammin,60,5,55,5
1001346,New likes,53,5,48,5
1001354,Main,70,5,65,5
1001363,Rap,95,5,90,5
1001366,Party,78,5,73,5
1001383,Cam,65,5,60,5
1001384,Throwback!!,51,5,46,5
1001387,beth,92,5,87,5
1001388,Party jams,76,5,71,5
1001397,driving 2,79,5,74,5
1001398,summer☀️,85,5,80,5
1001401,wedding Dinner,64,5,59,5
1001404,Dance,51,5,46,5
1001412,David,63,5,58,5
1001413,Classics,78,5,73,5
1001418,good jams,65,5,60,5
1001424,lolla 2015,71,5,66,5
1001431,yes,97,5,92,5
1001448,Regueton,64,5,59,5
1001449,Throwback,75,5,70,5
1001452,rap🔥,88,5,83,5
1001454,Throwbacks,59,5,54,5
1001466,running,53,5,48,5
1001469,Bach party,91,5,86,5
1001486,Techno,63,5,58,5
1001490,Bangerz Only,76,5,71,5
1001495,bumpin,51,5,46,5
1001496,Oldies,54,5,49,5
1001497,workout,74,5,69,5
1001503,Fiesta,82,5,77,5
1001512,idk,58,5,53,5
1001521,Stephanie,84,5,79,5
1001524,🔥🔥🔥,94,5,89,5
1001530,shooting stars,100,5,95,5
1001533,My Music,87,5,82,5
1001542,ISsuEs,62,5,57,5
1001543,wedding,52,5,47,5
1001547,Calm,62,5,57,5
1001548,random,54,5,49,5
1001550,elevator music,88,5,83,5
1001556,right now,54,5,49,5
1001558,Broadway,95,5,90,5
1001562,A1,72,5,67,5
1001571,Singing Songs :),70,5,65,5
1001579,Work Out ,65,5,60,5
1001586,Bones,68,5,63,5
1001587,Party,53,5,48,5
1001589,legendary,62,5,57,5
1001593,boat,76,5,71,5
1001603,October '17,70,5,65,5
1001604,Country 2,72,5,67,5
1001607,CtFO,64,5,59,5
1001608,cp,55,5,50,5
1001611,feel good music,84,5,79,5
1001612,soccer ,64,5,59,5
1001613,drawing music,56,5,51,5
1001618,flame,54,5,49,5
1001624,CHILDHOOD ,75,5,70,5
1001625,Wedding ,89,5,84,5
1001638,Christmas,85,5,80,5
1001639,GOTT,66,5,61,5
1001647,Reggae,63,5,58,5
1001650,disney :),95,5,90,5
1001653,2000s,98,5,93,5
1001656,low key,51,5,46,5
1001682,Beats,69,5,64,5
1001692,tb,51,5,46,5
1001697,running,83,5,78,5
1001698,music,55,5,50,5
1001703,2k17,67,5,62,5
1001709,Stuffs,52,5,47,5
1001722,Workout Music,62,5,57,5
1001723,workout,64,5,59,5
1001726,gym,75,5,70,5
1001728,worship,83,5,78,5
1001735,Indie,80,5,75,5
1001738,Rainy Day,81,5,76,5
1001745,good times,57,5,52,5
1001747,Shower ,51,5,46,5
1001751,Pa' Bailar,77,5,72,5
1001753,00's,75,5,70,5
1001755,Coffee shop,56,5,51,5
1001757,party music,85,5,80,5
1001768,Owl City,55,5,50,5
1001777,EDM,93,5,88,5
1001781,water,69,5,64,5
1001782,Lakehouse,98,5,93,5
1001783,summer country,80,5,75,5
1001789,Love,60,5,55,5
1001790,Summer Chill,66,5,61,5
1001808,lit,96,5,91,5
1001813,Gospel,84,5,79,5
1001823,80s,95,5,90,5
1001828,elevated ,78,5,73,5
1001830,Country Rap,54,5,49,5
1001833,Diamonds,62,5,57,5
1001845,Electrochill,52,5,47,5
1001847,Focus,64,5,59,5
1001849,1/2 $,73,5,68,5
1001852,Hip Hop,67,5,62,5
1001855,NeoSoul,92,5,87,5
1001862,Cruisin',70,5,65,5
1001865,90s alt. ,57,5,52,5
1001869,Pop,90,5,85,5
1001873,TBT,65,5,60,5
1001874,Running,61,5,56,5
1001877,Road Trip,55,5,50,5
1001879,SUMMER 2K17,70,5,65,5
1001886,chill out,76,5,71,5
1001890,La Playa ,70,5,65,5
1001891,Pump It!,96,5,91,5
1001894,Goodies,81,5,76,5
1001897,Fall,72,5,67,5
1001901,Rock,69,5,64,5
1001909,Dance,65,5,60,5
1001913,Kaleidoscope,92,5,87,5
1001921,jammin,66,5,61,5
1001923,Ma,63,5,58,5
1001926,Prime country,60,5,55,5
1001927,The Chillest,88,5,83,5
1001933,today,58,5,53,5
1001940,rocknroll,76,5,71,5
1001955,PARTYYYY,87,5,82,5
1001971,2014 summer,74,5,69,5
1001972,country tunes ,79,5,74,5
1001973,50 Shades,73,5,68,5
1001974,EDM,87,5,82,5
1001993,Beach Day,61,5,56,5
1002000,Old School Hip Hop,85,5,80,5
1002003,Pop/Chill,68,5,63,5
1002005,Country Hits,76,5,71,5
1002011,Randomness,93,5,88,5
1002013,Gym Time,55,5,50,5
1002014,OLDIES,67,5,62,5
1002018,car,95,5,90,5
1002021,Work Out Playlist,52,5,47,5
1002024,happy,55,5,50,5
1002029,Classic rock,62,5,57,5
1002034,Old School Bangers,57,5,52,5
1002035,90s,70,5,65,5
1002037,classics,52,5,47,5
1002043,Oldies,72,5,67,5
1002049,summa 16,87,5,82,5
1002050,Slow jamz,58,5,53,5
1002055,feel good ,52,5,47,5
1002062,Playlist,60,5,55,5
1002063,Everything,90,5,85,5
1002070,good mood,76,5,71,5
1002073,Classic rock,77,5,72,5
1002077,feel,63,5,58,5
1002079,Nostalgia,64,5,59,5
1002088,HALLOWEEN 2K17,81,5,76,5
1002093,fall,75,5,70,5
1002094,Jamz,53,5,48,5
1002107,my music,92,5,87,5
1002109,alternative,68,5,63,5
1002110,New,89,5,84,5
1002112,older music,54,5,49,5
1002116,Workout,52,5,47,5
1002120,soft songs,56,5,51,5
1002122,dad playlist,89,5,84,5
1002133,Oldies,71,5,66,5
1002141,car music,89,5,84,5
1002150,throwbacks,90,5,85,5
1002155,throwback jams,66,5,61,5
1002165,megan,75,5,70,5
1002169,Country Girl ,92,5,87,5
1002173,Trap,65,5,60,5
1002175,Guilty Pleasures,94,5,89,5
1002190,CHILLLLL,83,5,78,5
1002195,Love,53,5,48,5
1002196,kdrama,74,5,69,5
1002200,littt,53,5,48,5
1002203,Workout,71,5,66,5
1002208,Workout,73,5,68,5
1002213,Summer 2016,83,5,78,5
1002215,Rotation,61,5,56,5
1002223,dreaming,80,5,75,5
1002227,Dance pop,99,5,94,5
1002240,work,58,5,53,5
1002243,E.D.M. ,93,5,88,5
1002245,AL,85,5,80,5
1002251,Road Trip,81,5,76,5
1002257,Mom Music,58,5,53,5
1002260,Feeling,55,5,50,5
1002261,Five Finger Death Punch,51,5,46,5
1002262,2013,61,5,56,5
1002268,old mix ,99,5,94,5
1002278,Cool songs,60,5,55,5
1002287,reggae,72,5,67,5
1002288,Velvet,88,5,83,5
1002290,issa vibe,62,5,57,5
1002293,My songs,86,5,81,5
1002295,best,58,5,53,5
1002298,Rap,90,5,85,5
1002309,Summer 2017,54,5,49,5
1002316,vibin,69,5,64,5
1002319,Middle School Jams,56,5,51,5
1002323,musicals,74,5,69,5
1002327,emo music,70,5,65,5
1002329,music,88,5,83,5
1002347,Trip Music,54,5,49,5
1002348,Into the Wild,95,5,90,5
1002357,Fall 2014,93,5,88,5
1002360,Jammin,55,5,50,5
1002363,Study music ,64,5,59,5
1002371,sb,59,5,54,5
1002373,playlist,73,5,68,5
1002377,Disney,91,5,86,5
1002384,Cod,59,5,54,5
1002385,writing,54,5,49,5
1002388,Maria,94,5,89,5
1002391,Rap,60,5,55,5
1002396,throwback ,60,5,55,5
1002402,WORKOUT,96,5,91,5
1002406,littttt,51,5,46,5
1002420,over it,53,5,48,5
1002425,Sway,98,5,93,5
1002429,Random,51,5,46,5
1002435,new,96,5,91,5
1002437,Beats,97,5,92,5
1002441,Road Trip,93,5,88,5
1002443,MAGIC,71,5,66,5
1002445,drive,59,5,54,5
1002447,Reggaeton,52,5,47,5
1002462,CAR ,93,5,88,5
1002465,I like these,83,5,78,5
1002470,recently,68,5,63,5
1002478,Worship,83,5,78,5
1002494,oldies,70,5,65,5
1002499,Ally,69,5,64,5
1002506,Soundtrack of my Life,76,5,71,5
1002508,Summer '17,98,5,93,5
1002509,Casey,85,5,80,5
1002510,My,65,5,60,5
1002518,🔥🔥,67,5,62,5
1002526,in my head,61,5,56,5
1002529,Dance Partay,92,5,87,5
1002532,Anna,91,5,86,5
1002540,summer,54,5,49,5
1002542,pARTY,59,5,54,5
1002546,Dance Party!,51,5,46,5
1002556,april 16,64,5,59,5
1002563,Throwback,91,5,86,5
1002569,wo,81,5,76,5
1002573,dope,89,5,84,5
1002575,Oldies,78,5,73,5
1002577,Christmas,85,5,80,5
1002580,ROADTRIP,84,5,79,5
1002586,only the best ,58,5,53,5
1002597,old school,54,5,49,5
1002608,Indie Folk,92,5,87,5
1002612,line dances,77,5,72,5
1002614,Hardcore Workout,63,5,58,5
1002615,UK,86,5,81,5
1002621,SWEET 16,72,5,67,5
1002624,Goldies,94,5,89,5
1002629,rocks,20,5,15,5
1002631,Sunday music,48,5,43,5
1002632,Ride or Die,44,5,39,5
1002635,Car rides,77,5,72,5
1002636,chelsea,69,5,64,5
1002638,Happy Happy Joy Joy,80,5,75,5
1002641,Sleep,72,5,67,5
1002642,Kiddos,32,5,27,5
1002644,Sleepy,12,5,7,5
1002649,CHRISTMAS,78,5,73,5
1002650,pop,30,5,25,5
1002654,in between,71,5,66,5
1002656,Metal,29,5,24,5
1002657,Vegas,18,5,13,5
1002658,Pump Up Music,47,5,42,5
1002659,kids,14,5,9,5
1002661,rad,66,5,61,5
1002662,Senior SPRING,61,5,56,5
1002664,sup,31,5,26,5
1002666,Run,19,5,14,5
1002668,Bang,18,5,13,5
1002670,soft songs,37,5,32,5
1002671,Christian,40,5,35,5
1002673,boat,36,5,31,5
1002674,here,11,5,6,5
1002675,Folk,56,5,51,5
1002677,The List,48,5,43,5
1002678,Dirt,12,5,7,5
1002679,chilling,44,5,39,5
1002682,Blake Shelton ,74,5,69,5
1002683,mine,36,5,31,5
1002687,christmas🎄,67,5,62,5
1002688,Good stuff,27,5,22,5
1002690,eric,27,5,22,5
1002691,new,27,5,22,5
1002692,MAY 16,26,5,21,5
1002693,darkside,60,5,55,5
1002694,Workout,42,5,37,5
1002698,Friendsgiving,57,5,52,5
1002699,oldies,41,5,36,5
1002701,Chillin,100,5,95,5
1002702,Bliss,65,5,60,5
1002705,oui,60,5,55,5
1002706,Pregame ,71,5,66,5
1002710,Summer Festival Playlist,40,5,35,5
1002711,Contemp ,96,5,91,5
1002715,big,93,5,88,5
1002716,Wedding ,14,5,9,5
1002718,ugh,19,5,14,5
1002719,17,18,5,13,5
1002720,running playlist,19,5,14,5
1002721,cAR,65,5,60,5
1002722,Worship,33,5,28,5
1002723,numbers,21,5,16,5
1002725,Pool,17,5,12,5
1002726,My Youth,69,5,64,5
1002728,white noise,22,5,17,5
1002729,SKRRT,11,5,6,5
1002730,Yeehaw,47,5,42,5
1002735,Wedding,51,5,46,5
1002737,Skating,30,5,25,5
1002740,The Feel-Good Flavors Playlist,40,5,35,5
1002741,bay area !!,62,5,57,5
1002742,newish,24,5,19,5
1002743,LOVE. ,14,5,9,5
1002745,summer 16,71,5,66,5
1002750,chill out,67,5,62,5
1002751,fun,18,5,13,5
1002753,Pierce the veil ,80,5,75,5
1002755,Dope,13,5,8,5
1002758,rap,47,5,42,5
1002759,My Favs,88,5,83,5
1002760,EDM,53,5,48,5
1002762,ugh,22,5,17,5
1002763,car,68,5,63,5
1002766,90,97,5,92,5
1002767,Classic Rock,67,5,62,5
1002768,Mellow Vibes,27,5,22,5
1002769,Muzak,78,5,73,5
1002773,lalala ,95,5,90,5
1002775,hip hop,25,5,20,5
1002776,Mood,31,5,26,5
1002777,Vibes,28,5,23,5
1002778,CAR,12,5,7,5
1002779,christmas songs,45,5,40,5
1002780,Hybrid,38,5,33,5
1002781,high vibes,37,5,32,5
1002782,90's Baby,22,5,17,5
1002783,Wave,37,5,32,5
1002784,Hipster,87,5,82,5
1002785,setlist,52,5,47,5
1002786,Electric Feel,59,5,54,5
1002788,Pre,17,5,12,5
1002789,Old People,54,5,49,5
1002791,Morning,23,5,18,5
1002798,Michael's Playlist,15,5,10,5
1002799,wake up,20,5,15,5
1002801,Classics,70,5,65,5
1002802,mix1,60,5,55,5
1002803,feb 17,61,5,56,5
1002804,im sad,13,5,8,5
1002805,Traffic Jams,10,5,5,5
1002806,Nuevas,21,5,16,5
1002807,chill out,80,5,75,5
1002809,Hidden Gems,84,5,79,5
1002810,Allison,17,5,12,5
1002811,sunday worship,11,5,6,5
1002812,Sunrise,52,5,47,5
1002818,Jackie,47,5,42,5
1002819,FU,66,5,61,5
1002820,car,47,5,42,5
1002822,Twang,83,5,78,5
1002823,mood,41,5,36,5
1002824,july 2016 ,25,5,20,5
1002825,Music,25,5,20,5
1002827,xmas 2015,14,5,9,5
1002828,em,13,5,8,5
1002830,roadtrip,73,5,68,5
1002831,not country,77,5,72,5
1002838,Indi,47,5,42,5
1002845,Sleepy,40,5,35,5
1002846,jams,12,5,7,5
1002847,Beachin',96,5,91,5
1002848,90s nostalgia,72,5,67,5
1002849,worship,68,5,63,5
1002852,Fitness,37,5,32,5
1002853,bubbles,30,5,25,5
1002855,Gym,21,5,16,5
1002856,24K Magic,19,5,14,5
1002857,2017,89,5,84,5
1002859,My Favorite Songs,16,5,11,5
1002860,OLD SCHOOL ,18,5,13,5
1002862,Reggae,55,5,50,5
1002864,workin out,68,5,63,5
1002865,Gabby,28,5,23,5
1002866,Vitamin D,58,5,53,5
1002868,Summer 2017,46,5,41,5
1002870,classical,37,5,32,5
1002871,Ava,27,5,22,5
1002877,Childish ,44,5,39,5
1002880,❤❤,30,5,25,5
1002882,christmas,51,5,46,5
1002883,Oldies,23,5,18,5
1002884,dec 16,42,5,37,5
1002886,summer 17,61,5,56,5
1002887,Singing in the Shower,72,5,67,5
1002888,Happy,88,5,83,5
1002891,Covers,16,5,11,5
1002892,Drive,50,5,45,5
1002893,sick,75,5,70,5
1002896,Gerald,48,5,43,5
1002897,get fit,28,5,23,5
1002899,Gym,48,5,43,5
1002900,sad.,30,5,25,5
1002901,Trap music ,33,5,28,5
1002905,Yep. ,54,5,49,5
1002907,lit,34,5,29,5
1002908,80s,30,5,25,5
1002910,summer 2016,61,5,56,5
1002911,mhmm,47,5,42,5
1002912,Daily grind,83,5,78,5
1002913,gang,60,5,55,5
1002916,Jams,58,5,53,5
1002917,Christmas Vibes,31,5,26,5
1002918,golden,17,5,12,5
1002919,March 2017,35,5,30,5
1002922,SUMMER JAMZ,53,5,48,5
1002924,Exercise,69,5,64,5
1002925,current,75,5,70,5
1002926,pnd,30,5,25,5
1002927,Workout,19,5,14,5
1002928,kat ,14,5,9,5
1002933,Hip Hop,51,5,46,5
1002936,matthew,11,5,6,5
1002939,pop,71,5,66,5
1002943,Restart,47,5,42,5
1002944,A PlayList,45,5,40,5
1002946,Clara,40,5,35,5
1002947,Depressing,30,5,25,5
1002948,cruisin',37,5,32,5
1002949,Top 15,15,5,10,5
1002952,Hood Rat,19,5,14,5
1002960,Heartbroken,12,5,7,5
1002961,Roadtrip,57,5,52,5
1002962,About A Girl,44,5,39,5
1002963,Mom Playlist,95,5,90,5
1002966,Wedding Reception,95,5,90,5
1002967,Disney!,21,5,16,5
1002968,Backyard,68,5,63,5
1002970,Run the World,32,5,27,5
1002971,Car Rides,41,5,36,5
1002972,ALEX,18,5,13,5
1002973,groovin',30,5,25,5
1002975,Anthony,60,5,55,5
1002977,Rap,34,5,29,5
1002979,<3,15,5,10,5
1002980,Spring Break 2017,88,5,83,5
1002981,Alternative ,98,5,93,5
1002984,Fire,11,5,6,5
1002987,love songs,56,5,51,5
1002990,Woo,55,5,50,5
1002993,soccer,29,5,24,5
1002994,Disney,42,5,37,5
1002996,everything,27,5,22,5
1002999,hype ,17,5,12,5
1003001,Throwbacks,90,5,85,5
1003003,trash,98,5,93,5
1003004,Winter Playlist,80,5,75,5
1003007,Random mix,59,5,54,5
1003009,Turn up!,56,5,51,5
1003010,⚓️,33,5,28,5
1003012,December 2015,97,5,92,5
1003013,fun,40,5,35,5
1003014,throwback,59,5,54,5
1003015,pop,29,5,24,5
1003016,get it,61,5,56,5
1003017,workout,73,5,68,5
1003019,slow jams,18,5,13,5
1003021,Playlist,82,5,77,5
1003023,CAmp,12,5,7,5
1003024,lds,43,5,38,5
1003025,relax,82,5,77,5
1003027,plane,39,5,34,5
1003028,dope ,56,5,51,5
1003029,Work TIme,83,5,78,5
1003030,Tomorrow,16,5,11,5
1003031,Fnaf,43,5,38,5
1003033,LIFE,21,5,16,5
1003034,jingle ball,37,5,32,5
1003035,uplift,78,5,73,5
1003038,Rock,26,5,21,5
1003039,grit,86,5,81,5
1003040,mom.,14,5,9,5
1003041,Hoops,28,5,23,5
1003043,Valentines Day,24,5,19,5
1003045,Don't Let Me Down,15,5,10,5
1003046,Gym,34,5,29,5
1003049,Hype,28,5,23,5
1003053,mom,35,5,30,5
1003054,lili,95,5,90,5
1003055,fall '16,27,5,22,5
1003057,jam,50,5,45,5
1003059,Early 2000's,47,5,42,5
1003060,turnup,58,5,53,5
1003063,New Beginnings ,16,5,11,5
1003064,mhm,32,5,27,5
1003065,2k17,93,5,88,5
1003066,Alex,29,5,24,5
1003067,Gym,61,5,56,5
1003068,Future,78,5,73,5
1003072,throwbacks,42,5,37,5
1003073,Vale,20,5,15,5
1003075,Lalala,14,5,9,5
1003077,for ben. ,78,5,73,5
1003078,GYM,82,5,77,5
1003079,new,22,5,17,5
1003081,sleep,37,5,32,5
1003082,aesthetic,66,5,61,5
1003083,Weird,24,5,19,5
1003086,Feel Good,94,5,89,5
1003087,hype,37,5,32,5
1003089,Beats,60,5,55,5
1003092,zz,37,5,32,5
1003094,Step,12,5,7,5
1003095,grunge,24,5,19,5
1003098,Sundays,73,5,68,5
1003101,<3,33,5,28,5
1003102,🤘🏻,49,5,44,5
1003103,wake up happy,21,5,16,5
1003104,Pre Ceremony,42,5,37,5
1003106,camp,50,5,45,5
1003109,Memo,41,5,36,5
1003110,2017,33,5,28,5
1003111,simp,59,5,54,5
1003112,rock out ,54,5,49,5
1003114,oof,40,5,35,5
1003116,Ceremony,14,5,9,5
1003117,September 2015,30,5,25,5
1003119,LuCa,66,5,61,5
1003120,Workout Playlist,47,5,42,5
1003121,Halloween,27,5,22,5
1003123,CLassical,46,5,41,5
1003124,Beachy,79,5,74,5
1003125,road trip,39,5,34,5
1003126,100,61,5,56,5
1003130,feels,11,5,6,5
1003132,1975,49,5,44,5
1003133,boom,95,5,90,5
1003134,Fiesta,31,5,26,5
1003136,feels,42,5,37,5
1003137,awesome,14,5,9,5
1003139,Boat Tunes,74,5,69,5
1003140,17,45,5,40,5
1003141,bday,38,5,33,5
1003142,Shower,11,5,6,5
1003143,Country Bumpkin,41,5,36,5
1003145,Sleep,21,5,16,5
1003146,Lit,24,5,19,5
1003148,Long Drives,40,5,35,5
1003150,Dangerous,18,5,13,5
1003151,CS,22,5,17,5
1003152,CARDIO,31,5,26,5
1003153,rafael,51,5,46,5
1003154,🔥LIT🔥,21,5,16,5
1003156,Oldies,42,5,37,5
1003158,I Love You :),19,5,14,5
1003160,lit,19,5,14,5
1003162,Oldies ,11,5,6,5
1003163,Spanish,25,5,20,5
1003168,Worship,52,5,47,5
1003175,#Summer,45,5,40,5
1003177,jazz,39,5,34,5
1003178,My best songs,14,5,9,5
1003179,play that funky music,57,5,52,5
1003180,LOUD!,55,5,50,5
1003181,Chill Time,53,5,48,5
1003182,Matt,39,5,34,5
1003183,yes,89,5,84,5
1003184,sleepytime ,83,5,78,5
1003186,gang gang,27,5,22,5
