pid,list_artist_uri
1000103,"spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:3TQ9JTBI2n2hfo7aRONEYV, spotify:artist:31TPClRtHm23RisEBtV3X7, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1S9WGrK7SZfXXQtHBYzDle, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:6jTnHxhb6cDCaCu4rdvsQ0, spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt, spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:3ciRvbBIVz9fBoPbtSYq4x, spotify:artist:2gBjLmx6zQnFGQJCAQpRgw, spotify:artist:4u5smJBskI6Adzv08PuiUP, spotify:artist:6Dd3NScHWwnW6obMFbl1BH, spotify:artist:7pFeBzX627ff0VnN6bxPR4, spotify:artist:711MCceyCBcFnzjGY4Q7Un, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:1wgY8huggK60P5nvYrwcYT, spotify:artist:0z4gvV4rjIZ9wHck67ucSV, spotify:artist:69GGBxA162lTqCwzJG5jLp"
1000104,"spotify:artist:4o7tWrzQOqarDtTMWD2HV9, spotify:artist:3qNVuliS40BLgXGxhdBdqu, spotify:artist:7FHDreQGEb1Evz3TEj1sJe, spotify:artist:3wRA5UYoo08BBKJnzyKkpF"
1000105,"spotify:artist:2aAHdB5HweT3mFcRzm0swc, spotify:artist:19eLuQmk9aCobbVDHc6eek"
1000111,"spotify:artist:2uEjXyVi0SA1HPpj3zquXh, spotify:artist:2gRP1Ezbtj3qrERnd0XasU"
1000113,"spotify:artist:6J7rw7NELJUCThPbAfyLIE, spotify:artist:4EzkuveR9pLvDVFNx6foYD, spotify:artist:3QGKsAfhZdldQCLuLjk6zl"
1000115,"spotify:artist:6dC0rIJNLSFZwqckLgXJ8p, spotify:artist:5KNNVgR6LBIABRIomyCwKJ, spotify:artist:6xrCU6zdcSTsG2hLrojpmI, spotify:artist:0mXTJETA4XUa12MmmXxZJh, spotify:artist:25u4wHJWxCA9vO0CzxAbK7"
1000116,"spotify:artist:0L8ExT028jH3ddEcZwqJJ5, spotify:artist:4Z8W4fKeB5YxbusRsdQVPb, spotify:artist:0EdvGhlC1FkGItLOWQzG4J, spotify:artist:6olE6TJLqED3rqDCT0FyPh, spotify:artist:5xUf6j4upBrXZPg6AI4MRK"
1000122,"spotify:artist:6x2LnllRG5uGarZMsD4iO8, spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:3b8QkneNDz4JHKKKlLgYZg"
1000133,"spotify:artist:20JZFwl6HVl6yg8a4H3ZqK, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3Isy6kedDrgPYoTS1dazA9, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:5pjCYG6hPLBO3y4swxu3dh, spotify:artist:6nS5roXSAGhTGr34W6n7Et, spotify:artist:6FBDaR13swtiWwGhX1WQsP, spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:5eAWCfyUhZtHHtBdNk56l1, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7"
1000134,"spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:3QLIkT4rD2FMusaqmkepbq, spotify:artist:3q9nybxzbSHsesDBHUlP4c, spotify:artist:6VuMaDnrHyPL1p4EHjYLi7, spotify:artist:6sFIWsNpZYqfjUpaCgueju"
1000135,"spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:4LLpKhyESsyAXpc4laK94U"
1000138,"spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:4V8Sr092TqfHkfAA5fXXqG, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:5pUo3fmmHT8bhCyHE52hA6"
1000140,"spotify:artist:0YhUSm86okLWldQVwJkLlP, spotify:artist:1URnnhqYAYcrqrcwql10ft, spotify:artist:1lhtpwswW0liqyOU52EP0E, spotify:artist:2iojnBLj0qIMiKPvVhLnsH, spotify:artist:382aq8Pij5V2nE2JMHMoxl, spotify:artist:7LvoDJUNGnOrPdGRzVtOJ9, spotify:artist:5lpH0xAS4fVfLkACg9DAuM, spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:2FXC3k01G6Gw61bmprjgqS, spotify:artist:4EJ7lqLodUNk4WmLIA0oOw, spotify:artist:74cb3MG0x0BOnYNW1uXYnM, spotify:artist:77tT1kLj6mCWtFNqiOmP9H, spotify:artist:6oMuImdp5ZcFhWP0ESe6mG, spotify:artist:5lHRUCqkQZCIWeX7xG4sYT, spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL, spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ, spotify:artist:2cFrymmkijnjDg9SS92EPM, spotify:artist:0rvjqX7ttXeg3mTy8Xscbt, spotify:artist:2oqwwcM17wrP9hBD25zKSR, spotify:artist:0du5cEVh5yTK9QJze8zA0C, spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:7gP3bB2nilZXLfPHJhMdvc, spotify:artist:07YZf4WDAMNwqr4jfgOZ8y"
1000141,"spotify:artist:46SHBwWsqBkxI7EeeBEQG7, spotify:artist:2o8lOQRjzsSC8UdbNN88HN, spotify:artist:6LuN9FCkKOj5PcnpouEgny"
1000149,"spotify:artist:6UBA15slIuadJ8h2lPRPos, spotify:artist:6PXS4YHDkKvl1wkIl4V8DL, spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:3RPYHNSwe3w0mtfJwKIN9P, spotify:artist:3aQeKQSyrW4qWr35idm0cy, spotify:artist:1Zz5UxfKSSqc6hpa3xJPCw, spotify:artist:5EvFsr3kj42KNv97ZEnqij, spotify:artist:1yxSLGMDHlW21z4YXirZDS, spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:6z1cicLMt9XArxN10q7m8a, spotify:artist:3ciRvbBIVz9fBoPbtSYq4x, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:0z4gvV4rjIZ9wHck67ucSV, spotify:artist:7p2aOXY5bfHyjujI3fCWTu, spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:4pADjHPWyrlAF0FA7joK2H, spotify:artist:6H1RjVyNruCmrBEWRbD0VZ, spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:5me0Irg2ANcsgc93uaYrpb, spotify:artist:3s2wTjWxK8NOX09dmsvVOh, spotify:artist:4AllEJE7mVkhhyUV6DjqPz, spotify:artist:2iojnBLj0qIMiKPvVhLnsH"
1000153,"spotify:artist:0hEurMDQu99nJRq8pTxO14, spotify:artist:5dbuFbrHa1SJlQhQX9OUJ2, spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:0X2BH1fck6amBIoJhDVmmJ, spotify:artist:43sZBwHjahUvgbx1WNIkIz, spotify:artist:51Blml2LZPmy7TTiAg47vQ, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx, spotify:artist:0vEsuISMWAKNctLlUAhSZC, spotify:artist:3fMbdgg4jU18AjLCKBhRSm, spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK, spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:3q9nybxzbSHsesDBHUlP4c"
1000154,"spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:36QJpDe2go2KgaRleHCDTp, spotify:artist:4Cqia9vrAbm7ANXbJGXsTE, spotify:artist:5M52tdBnJaKSvOpJGz8mfZ, spotify:artist:6nS5roXSAGhTGr34W6n7Et"
1000160,"spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:5IcR3N7QB1j6KBL8eImZ8m, spotify:artist:13ubrt8QOOCPljQ2FL1Kca"
1000162,"spotify:artist:5ndkK3dpZLKtBklKjxNQwT, spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4TsHKU8l8Wq7n7OPVikirn, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:1anyVhU62p31KFi8MEzkbf"
1000163,"spotify:artist:65HuWBUC1d8ty1q6J42Nfi, spotify:artist:3qAPxVwIQRBuz5ImPUxpZT, spotify:artist:1GImnM7WYVp95431ypofy9, spotify:artist:7An4yvF7hDYDolN4m5zKBp"
1000172,"spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:0EmeFodog0BfCgMzAIvKQp, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H"
1000178,"spotify:artist:6t1gpxYbY8OlLA7D2RiikQ, spotify:artist:6nxWCVXbOlEVRexSbLsTer, spotify:artist:5QatamYwvUTOmMHW6WA0AG, spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh, spotify:artist:0FVj4JuzTyudaXAwfqDQ20, spotify:artist:33W1pnW9zScZtYTnAoWnOT, spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:4BzCdhJTyTS3gumq9xmymb, spotify:artist:3TaUSUXn41GixL7zbvrIDt, spotify:artist:3hyEbRtp617pNCuuQjyOmc, spotify:artist:0cmWgDlu9CwTgxPhf403hb, spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:00dwwnz3V4kRfu3UFYpJLz, spotify:artist:4VNQWV2y1E97Eqo2D5UTjx, spotify:artist:21mKp7DqtSNHhCAU2ugvUw, spotify:artist:71zBpZsf6YDEBfWayKdAOA, spotify:artist:7DMveApC7UnC2NPfPvlHSU, spotify:artist:1b4DN8Vj0dnj5cceMFsRYN"
1000181,"spotify:artist:0p4nmQO2msCgU4IF37Wi3j, spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb, spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:3ao3jf5d70Tf4fPh2bnXVl, spotify:artist:2iEvnFsWxR0Syqu2JNopAd, spotify:artist:3vAaWhdBR38Q02ohXqaNHT, spotify:artist:64rxQRJsLgZwHHyWKB8fiF, spotify:artist:3Ayl7mCk0nScecqOzvNp6s, spotify:artist:1pgtr4nhBQjp9oCUBPyYWh, spotify:artist:2p4FqHnazRucYQHyDCdBrJ, spotify:artist:5mgr0FFpvy267wKVAYg8qp, spotify:artist:20JZFwl6HVl6yg8a4H3ZqK, spotify:artist:4UXqAaa6dQYAk18Lv7PEgX, spotify:artist:1g1yxsNVPhMUl9GrMjEb2o, spotify:artist:5ND0mGcL9SKSjWIjPd0xIb, spotify:artist:7oPftvlwr6VrsViSDV7fJY, spotify:artist:6FBDaR13swtiWwGhX1WQsP"
1000189,"spotify:artist:6eouuqqGggqDlYRV63cgPo, spotify:artist:7oPftvlwr6VrsViSDV7fJY, spotify:artist:0uq5PttqEjj3IH1bzwcrXF"
1000190,"spotify:artist:0CEFCo8288kQU7mJi25s6E, spotify:artist:6B5c4sch27tWHAGdarpPaW, spotify:artist:4RddZ3iHvSpGV4dvATac9X, spotify:artist:5t28BP42x2axFnqOOMg3CM, spotify:artist:0xIChbcTsuYLueN1oEsX9v, spotify:artist:05fG473iIaoy82BF1aGhL8, spotify:artist:49bzE5vRBRIota4qeHtQM8, spotify:artist:0nmQIMXWTXfhgOBdNzhGOs, spotify:artist:2xiIXseIJcq3nG7C8fHeBj, spotify:artist:6WMo39FU3nrpSz3qMgRKug"
1000191,"spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:77SW9BnxLY8rJ0RciFqkHh, spotify:artist:6jJ0s89eD6GaHleKKya26X, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:07YZf4WDAMNwqr4jfgOZ8y, spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:2gsggkzM5R49q6jpPvazou, spotify:artist:4gzpq5DPGxSnKTe4SA8HAU, spotify:artist:07QEuhtrNmmZ0zEcqE9SF6, spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq, spotify:artist:163tK9Wjr9P9DmM0AVK7lm, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ, spotify:artist:6DIS6PRrLS3wbnZsf7vYic, spotify:artist:2FXC3k01G6Gw61bmprjgqS"
1000193,"spotify:artist:0AuW7OCyKfFrsMbtHrYgIV, spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:2zrZfs23sjuHDv4E6YRmNf, spotify:artist:41qil2VaGbD194gaEcmmyx, spotify:artist:3CQIn7N5CuRDP8wEI7FiDA, spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:4Icvbp9RDt5aY2TWDOVDsr, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:3LIJJJkO7R5RasRwt7xIn5, spotify:artist:7zliF6Q946WznVk3ZMYhZX, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:7jocoSCuCtpCxCI6IbP8ye, spotify:artist:2gBjLmx6zQnFGQJCAQpRgw, spotify:artist:1mG23iQeR29Ojhq89D5gbh, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:2wIVse2owClT7go1WT98tk, spotify:artist:4d3yvTptO48nOYTPBcPFZC"
