artist_name,artist_uri
Bill Haley & His Comets,spotify:artist:3MFp4cYuYtTZe3d3xkLLbr
Bing Crosby,spotify:artist:6ZjFtWeHP9XN7FeKSUe80S
Birdy,spotify:artist:2WX2uTcsvV5OnS0inACecP
Black Stone Cherry,spotify:artist:6WMo39FU3nrpSz3qMgRKug
Blackjack Billy,spotify:artist:0kGFplMt0ZXkae40T5EVZ7
Bloodhound Gang,spotify:artist:6nDLku5uL3ou60kvCGZorh
Blu & Exile,spotify:artist:567CChDKZrtF4rnk2r5JeP
Bob Moses,spotify:artist:6LHsnRBUYhFyt01PdKXAF5
Bomba Estéreo,spotify:artist:5n9bMYfz9qss2VOW89EVs2
Bombilates,spotify:artist:5ApqQtXRXx2g7fta0P3q1B
Bonobo,spotify:artist:0cmWgDlu9CwTgxPhf403hb
BoomBox,spotify:artist:3UBLa2huRORV0HmGQq3fGs
Boosie Badazz,spotify:artist:6z7xFFHxYkE9t8bwIF0Bvg
Both,spotify:artist:6z89jVMUmJejKgZC06oxf9
BOY,spotify:artist:7I7ObCLzhAnOchc4fCQiRX
Boys Noize,spotify:artist:62k5LKMhymqlDNo2DWOvvv
Brad Paisley feat. Brad Paisley,spotify:artist:5tZdXbGPPfrilQs18CwEqm
Brand Nubian,spotify:artist:3YyZFf9ZN2YbkqeZia8zHX
Brendan James,spotify:artist:2aIPQyKrN3oVev1kHudiai
Brett Dennen,spotify:artist:0FC1LIeQXKib0jOwZqeIwT
Brett Eldredge,spotify:artist:0qSX3s5pJnAlSsgsCne8Cz
"""Weird Al"" Yankovic",spotify:artist:1bDWGdIC2hardyt55nlQgG
$uicideBoy$,spotify:artist:1VPmR4DJC1PlOtd0IADAO0
1way Frank,spotify:artist:6JajQ1VHanKIftKLeZRUSy
5Quad,spotify:artist:212XAOqudBh4ldSXRdpxea
702,spotify:artist:2S8UlyXW4JjjHcbeg8ddIo
Aaron Lohr,spotify:artist:7kpYFxC5CpMUjfXtOGOrvR
Aayushi,spotify:artist:1r2kTJ27zuaEoXasQT5NDd
Abandon All Ships,spotify:artist:3GsRbtyKPsORUduU4xAaQS
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
Act As If,spotify:artist:4ROrocktzozIPJxNTlUJuR
Adam Friedman,spotify:artist:2XVvpzlWqk7Dmj8BgKx4k1
Adam Lambert,spotify:artist:6prmLEyn4LfHlD9NnXWlf7
Adriana Caselotti,spotify:artist:6AbQqiXLNLzvJSqq2383bZ
Against Me!,spotify:artist:29lz7gs8edwnnfuXW4FhMl
AJJ,spotify:artist:4IDpDJIDfK96HMLD4Tphyl
Alex Ubago,spotify:artist:2tY2GFdhH0Wa2VBvsxew5X
Alice DJ,spotify:artist:2tbvDi9eXf9XXp06LupkED
Alison Krauss,spotify:artist:5J6L7N6B4nI1M5cwa29mQG
All That Remains,spotify:artist:2zgG1GPDvjaBgxeQaVXI14
All Time Low,spotify:artist:46gyXjRIvN1NL1eCB8GBxo
All-4-One,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG
Allure,spotify:artist:1VPr8y4GGZJBtWyaoLdYUT
Alphaville,spotify:artist:0xliTEbFfy5HQHvsTknTkX
Amber Pacific,spotify:artist:4GHa4pyuelazwyhdLo5AwL
Andrea Bocelli,spotify:artist:3EA9hVIzKfFiQI0Kikz2wo
Angus & Julia Stone,spotify:artist:4tvKz56Tr39bkhcQUTO0Xr
Anna Clendening,spotify:artist:2y9j8qUwBMGPYPQJJxmYzD
Anna Lunoe,spotify:artist:7d96RW5Vix23AiCHr3mf3D
Annaleigh Ashford,spotify:artist:4cHdzQMvESi5fSYStocJQT
Anne Hathaway,spotify:artist:0nIyPY7J7G68WgQEOLHn0x
Another Bad Creation,spotify:artist:454VBUMshEg0sxzoWKTYbT
Ansel Elgort,spotify:artist:59mjRp0i1B8oWSSMmGWJlJ
Arlo Guthrie,spotify:artist:0B6QEFtRnneEzb4iqjI0Nw
AronChupa,spotify:artist:5vCOdeiQt9LyzdI87kt5Sh
Arrested Development,spotify:artist:5Va9LuEmaZxnbk1gMnjMD7
Ashley McBryde,spotify:artist:371jpyGdoChzUASOIG2ECV
Attom,spotify:artist:1Xq5wasmlEwC6TqCqJtP5o
Audrey Assad,spotify:artist:1GKYNY4rIPnOuTfC0J1IWw
AURORA,spotify:artist:1WgXqy2Dd70QQOU7Ay074N
Az Yet,spotify:artist:4UGMQyNcbGHYg5CDMKkSw3
Azizi Gibson,spotify:artist:2NjfafEappzvGGGDdMRJMP
Baby Boy,spotify:artist:5cjAMJ0mdgOJvbZBmJeq0A
Bad English,spotify:artist:5fhMbh4PVSLSODF2fhWwqt
BadBadNotGood,spotify:artist:65dGLGjkw3UbddUg2GKQoZ
Baio,spotify:artist:50lhyY7UVI9NyVHl79rVgk
Band of Horses,spotify:artist:0OdUWJ0sBjDrqHygGUXeCF
Banda Clave Nueva De Max Peraza,spotify:artist:2M6niUSuBtlBcwAHHpDwpi
Bang La Decks,spotify:artist:52gTlzX6XwOavvrAz8TxEz
Banks,spotify:artist:2xe8IXgCTpwHE3eA9hTs4n
Beach Fossils,spotify:artist:1bwUhKRmEkOZ1wuTnV9XjC
BEGINNERS,spotify:artist:3W8j0OhMMduqR1eNV6ktu3
Belinda,spotify:artist:5LeiVcEnsZcwc133TUhJNW
Bell Biv DeVoe,spotify:artist:2zFZiWQJFFshzojycnXoTL
Ben Cocks feat. Nikisha Reyes-Pile,spotify:artist:0YvRSxCBUYzOSgZaRB3eMb
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3
Berhana,spotify:artist:0WjtdWS6su0f3jrW9aqEHl
Berlin,spotify:artist:2aS6jYh7ysTL1ZUsHneNgM
Best Coast,spotify:artist:5YkBrE0wF8cAlq3GCOw5Eu
Big Boi,spotify:artist:2ht3wxeT69CzyKFChNnNAB
Big Gemini,spotify:artist:0jbx51hrAITPKt71DQj4lt
Big Grams,spotify:artist:4jU68Hm8np6WNZXMqi7rz3
Black Star,spotify:artist:67ei8ib6PLT1w3OkhIb4fB
Birdy Nam Nam,spotify:artist:4e7qJTThm5uI3CplqZObfT
Bitter:Sweet,spotify:artist:28bLlI81wfpcHUSUPgktlx
Black Coast,spotify:artist:4JMdvZoXArDVuMNNelKmjo
Blake Mills,spotify:artist:4LhV33vJvXmFGSM3m5RzUR
Blasterjaxx,spotify:artist:37awA8DFCAnCCL7aqYbDnD
Blu Cantrell,spotify:artist:6vytZ677lz4LzCrUDcDokM
Bobby V.,spotify:artist:4HgF4KnohByNElYid7iCNb
Bonnie Raitt,spotify:artist:4KDyYWR7IpxZ7xrdYbKrqY
Boombox Cartel,spotify:artist:4m1yRHUMhvB8gKAJTjK4kO
Bootsy Collins,spotify:artist:5K0rbdBrs2tNXe5LeWMATT
Borgore,spotify:artist:7u160I5qtBYZTQMLEIJmyz
Bowling For Soup,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb
Brett Kissel,spotify:artist:6VOaUBrKfzd49nIAzjVKmm
Broadside,spotify:artist:7EGdqeEDe7WMqOVyDFUYyo
Bronze Radio Return,spotify:artist:2ic4xySjQ39N7DJ0HZemeG
Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc
Bryson Tiller,spotify:artist:2EMAnMvWE2eb56ToJVfCWs
BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX
Busta Rhymes,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK
Buzzcocks,spotify:artist:2DxlS3lTLFIq70S7ap5H3y
CADE,spotify:artist:0CEK8AzyeD5ZUdUloB6yQV
Caesars,spotify:artist:4rGrN4XDYhP6dUAZMvcuHr
Caleb and Kelsey,spotify:artist:7l0sphz32GV0AjjEhECpVg
Cali Y El Dandee,spotify:artist:5DUlefCLzVRzNWaNURTFpK
Carl Thomas,spotify:artist:6I6t21SFbxZ7RbQgD5dN7U
Carlos y Alejandra,spotify:artist:198g5ZZS90C4PnJ7E1dVjA
Carly Rae Jepsen,spotify:artist:6sFIWsNpZYqfjUpaCgueju
Cartel,spotify:artist:6wQMF27xWhSyJFnO9L5mQk
Cary Brothers,spotify:artist:21R50WhyQI5HxWOTr6MyY1
Casey Veggies,spotify:artist:0uFc6StTmJBvdHPZFDkdJy
Cassie,spotify:artist:27FGXRNruFoOdf1vP8dqcH
Cast Of Camp Rock,spotify:artist:6BaEtrOzEuvmxmHZRR1nNa
Catherine Feeny,spotify:artist:2PKUc5LXsZNjqOpAZKcFgz
CHAD,spotify:artist:75sB8pfxoJHfFPWY6fOyp9
Chaos Chaos,spotify:artist:6D6rjLdxyE5vwhMlkuQq0E
Charley Pride,spotify:artist:69Fk1s1lzINOKqoSWjjEiE
Charlie Hall,spotify:artist:0Przo8VxOHYfZv9FMZWsWV
Cheech & Chong,spotify:artist:0TorzrcTerTn7l5q9LVjmt
Chef'Special,spotify:artist:7IiSLreTg1of8dDwxwiPw3
Chenxpunch,spotify:artist:5eDg9q1Df3rSQOooaRJ5wF
Cherish,spotify:artist:1c70yCa8sRgIiQxl3HOEFo
Chorus - Sleeping Beauty,spotify:artist:1c4ltuRXEIo20Y9UOPxiA0
Chris Brochu,spotify:artist:1eK59pkylGGka9wRUEKVXt
Chris Cagle,spotify:artist:1zhIzONVRlTfD1VQRauHMl
Chris Stapleton,spotify:artist:4YLtscXsxbVgi031ovDDdh
Chris Watts,spotify:artist:6wPxWqUwHJYKMe9ehxWteE
Cimo Fränkel,spotify:artist:76ftqv1cm1EkrgWiC1pUUV
Classified,spotify:artist:7t6GsqGAwrj1kwYbvNX0hN
Clayton Gardner,spotify:artist:2JmEwYg4sv7a7IkQ3wVoh6
Cliff Edwards,spotify:artist:0aeRagbqQCOKkVURrvcMrn
Clipse,spotify:artist:2J257euzcjnDLipsyJH3F2
Club Nouveau,spotify:artist:4kEAjV4pCBOkoowYYQydvO
Cody Davenport,spotify:artist:7DIzbqUsF9D9130gRem0wL
Cody Fry,spotify:artist:7dOCnyDR2oEa1hQlvTXvdT
Cody Johnson,spotify:artist:6zLBxLdl60ekBLpawtT63I
Cold,spotify:artist:0Gw3a3BkWLwsMLFbOBmo6Q
Cole Taylor,spotify:artist:5QXCGAfanhwtd88Fqe0YJB
Colouring,spotify:artist:0p4HbDx1JTF3QLaBznAOrU
Colton Dixon,spotify:artist:52oVYHQ99ORZzeig2YGo4R
Contiez,spotify:artist:1TlTz1l8LzQ7AiXjBO77Ep
Counting Crows,spotify:artist:0vEsuISMWAKNctLlUAhSZC
Courtney Barnett,spotify:artist:4OOlG5eBXSkSAAEeKjJb5Y
22 Savage,spotify:artist:7x8MuRMbm9XIldHSJOtoNo
3LW,spotify:artist:2lFHVcUeJ9Gq6AZiU3ZAOa
A Perfect Circle,spotify:artist:4DFhHyjvGYa9wxdHUjtDkc
A Tribe Called Red,spotify:artist:2jlWF9ltd8UtoaqW0PxY4z
Adrian 606,spotify:artist:0h1p0I4P4JP63XBbCXMhC1
Adrian Lux,spotify:artist:5kp9Qhzri9LrDkzrtjt5Sh
Aeroplane,spotify:artist:31CtLHmSL7Oa7TPU9YyBEu
Alain Boublil,spotify:artist:2EnzSSPMaRMJRQod7erlhW
Alex & Sierra,spotify:artist:58MLl9nC29IXbE4nEtuoP2
Alfredo Olivas,spotify:artist:5xYNmNkaWRqu3e5F4UXME8
All Sons & Daughters,spotify:artist:44LPOpECjnIlnwH91wo2ir
Allen Stone,spotify:artist:536osqBGKzeozje8BfcGsa
Amanda Cook,spotify:artist:53Gnd3lGlcL8ua9Yyu9xDP
American Boys,spotify:artist:4hlvqffEiS5Ck1UhZsyUJz
Anna Golden,spotify:artist:3YChYj3gO6EJmFwI79cUSe
Anthrax,spotify:artist:3JysSUOyfVs1UQ0UaESheP
Apathy,spotify:artist:6fK2hnSgfRPxR6sL975XQS
Ari Lennox,spotify:artist:1vaQ6v3pOFxAIrFoPrAcom
Arman Cekin,spotify:artist:7vUJCRmF1if4uhMp2V3tRP
"Artists Of Then, Now & Forever",spotify:artist:0KlSW3j5fUEfej47FOrBMr
Ashlee Simpson,spotify:artist:4hqDqHtBlgxXpLXVYf7c8L
Ashley Tisdale,spotify:artist:2ddxtfC0oS8LoktXUHE7YL
Ataah King,spotify:artist:4po8w8EnZRWpiaMuD7RG4w
Atlantic Starr and The Jets,spotify:artist:4KhV561Hcvr0HpS3s3vTOx
A-Trak,spotify:artist:3TaUSUXn41GixL7zbvrIDt
Autograf,spotify:artist:0FVj4JuzTyudaXAwfqDQ20
Avii,spotify:artist:1gloKfrRAoMl0cl8sXIpyv
Axwell,spotify:artist:1xNmvlEiICkRlRGqlNFZ43
B. Smyth,spotify:artist:76JyRfZDqhAIow2Awv91iW
B.J. Thomas,spotify:artist:0uUNzXylqsZdmFDwdxaP1V
Baauer,spotify:artist:25fqWEebq6PoiGQIHIrdtv
Baby Rasta & Gringo,spotify:artist:3IEvQoAohcGX7CdrbtIle7
Bachman-Turner Overdrive,spotify:artist:5q4AzEtCoYJyXjMMoEkSU5
Ball Park Music,spotify:artist:1ououJVWgWsHWMYDLvT7sH
Banda Rancho Viejo De Julio Aramburo La Bandononona,spotify:artist:39dmt5DRpnyJKgz5bc4ZNV
Bandit Gang Marco,spotify:artist:5oSFZH3AgLRQxBi87McLjP
Bankroll Mafia,spotify:artist:6SHGWppjZ0ppEcvW1HkXjZ
Barrington Levy,spotify:artist:5mMuiFhh7faS7qxnTLRA6u
Barry Louis Polisar,spotify:artist:6MUxF4ehonXZ8Q6YMFI2xb
Bars and Melody,spotify:artist:6Tm0hIf7nSjDziOzpGFzKl
Beastie Boys,spotify:artist:03r4iKL2g2442PT9n2UKsx
Belinda Carlisle,spotify:artist:7xkAwz0bQTGDSbkofyQt3U
Ben Fankhauser,spotify:artist:46yt6WJsgzPiAtnCe809UV
Better Than Ezra,spotify:artist:4UuoJfJ9UybJft7a8E6UHX
Betty Who,spotify:artist:0t3QQl52F463sxGXb1ckhB
Biffy Clyro,spotify:artist:1km0R7wy712AzLkA1WjKET
Big & Rich,spotify:artist:0oBEeN6BCxEgMogzThqrPf
Big Data,spotify:artist:4S1nvNHWiZLP4rzwmULmUa
Billie Holiday,spotify:artist:1YzCsTRb22dQkh9lghPIrp
Billy Bragg,spotify:artist:5yXAFDZNUNyO92l5WTImkO
Black Sabbath,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF
Blessid Union Of Souls,spotify:artist:4W4gYpQ2AQq7US2HZS13Qw
Blind Melon,spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd
Blitzen Trapper,spotify:artist:72XY3HrDdFfZXNZFCT9Zh1
Blood On The Dance Floor,spotify:artist:3llfMTWzOCWDpZeBSL4gbc
"Blood, Sweat & Tears",spotify:artist:24GaH9tRBgZjlvOhpFuKi2
Blue October,spotify:artist:1TJbmc7jTpw78GKCiMpvDh
Blue Öyster Cult,spotify:artist:00tVTdpEhQQw1bqdu8RCx2
(Hed) P.E.,spotify:artist:0xIChbcTsuYLueN1oEsX9v
¡MAYDAY!,spotify:artist:71WhWdsVNTLxsnfe8M3Peh
+44,spotify:artist:7gkRNHOOt7QfhhXf0rEnmj
116,spotify:artist:7tTsvTUJ7lXBezazP5jU72
2 LIVE CREW,spotify:artist:58Dx4HPzeOO3dbpD9YYEes
311,spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K
98º,spotify:artist:6V03b3Y36lolYP2orXn8mV
A Day To Remember,spotify:artist:4NiJW4q9ichVqL1aUsgGAN
A R I Z O N A,spotify:artist:7hOGhpa8RMSuDOWntGIAJt
A Tribe Called Quest,spotify:artist:09hVIj6vWgoCDtT03h8ZCa
Aaron Tveit,spotify:artist:68h2f0WXn4zEctSgNYozXx
ABC,spotify:artist:2s79xe5F6eUQkjwjww27Fh
Adolescent's Orquesta,spotify:artist:70nxnxEqDQIEWneRjg2Q4O
Adrian Marcel,spotify:artist:0tqGegfp4LA38TZ807OdzM
Adriel Favela,spotify:artist:0PrhwIWbqYFYyY2ZrkIWgI
After 7,spotify:artist:4UPcJIhr5K5fPsm4itqT7E
Agust D,spotify:artist:7kAYwEKDbUNlUJh4yxjW3o
Ahmad Lewis,spotify:artist:4X3nIh5dynzfAQmy1Z5hXI
Alan Jackson,spotify:artist:4mxWe1mtYIYfP040G38yvS
Alejandra Guzman,spotify:artist:7Hf9AwMO37bSdxHb0FBGmO
Alex Goot,spotify:artist:66Fb5gJ9SX2WGlqDLUpjux
Alfons,spotify:artist:5f5mH9BDkeyXmDbzevu38d
Alkaline Trio,spotify:artist:1aEYCT7t18aM3VvM6y8oVR
Allday,spotify:artist:2Ltr0s15RyvsjqWzSmiSRs
Aloe Blacc,spotify:artist:0id62QV2SZZfvBn9xpmuCl
Alpine,spotify:artist:4tKUoNubW02udXOh7SLtXV
alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5
Amanda Perez,spotify:artist:5DqmNLPM1kAbSBQk2FMm6b
Amber Run,spotify:artist:0MmnmsAuQKRFpo6vJElcaU
Ambrosia,spotify:artist:0J2Ej2rMQyqaUX3G6MUISw
Amtrac,spotify:artist:3ifxHfYz2pqHku0bwx8H5J
Anamanaguchi,spotify:artist:2UwJRAgSOi1zcLkvUNc8XL
Anberlin,spotify:artist:5v61OSg53KaQxGMpErkBNp
Anthony Hamilton,spotify:artist:2DzRMyWgjuMbYvt5BLbpCo
Apashe,spotify:artist:1fd3fmwlhrDl2U5wbbPQYN
Apocalyptica,spotify:artist:4Lm0pUvmisUHMdoky5ch2I
araabMUZIK,spotify:artist:2iXdwLTWyFhlN1MQWIymvM
Ariel Pink,spotify:artist:5H0YoDsPDi9fObFmJtTjfN
Arizona Zervas,spotify:artist:0vRvGUQVUjytro0xpb26bs
Armors,spotify:artist:0m34JtkojthW5WYugFm0e3
Asher Roth,spotify:artist:1wgY8huggK60P5nvYrwcYT
Ashley Monroe,spotify:artist:37BiX28I6pF104F92U1hDP
ASTR,spotify:artist:3GJhraAgCA8s8XHENnDsXq
AtellaGali,spotify:artist:64kJmYlYPeykl8UgCGLbFp
Atlanta Rhythm Section,spotify:artist:0WgyCbru4tXnMsbTmX4mFw
Atlas Sound,spotify:artist:3kGhAL9j1WyNjNkWTRQd8T
Atu,spotify:artist:2O7oRN5HAWrg21HegiHMXK
Audien,spotify:artist:4xnMDfgEmXZEEDdITKcGuE
Auli'i Cravalho,spotify:artist:5mnS9jJdKQQcRSqFu5YPVe
Austin Burke,spotify:artist:5jfImMkUYyViFJrhdfYt1c
Autoheart,spotify:artist:5Lm1CMoa8VOCBCLZesAcvc
Avenged Sevenfold,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs
B Story,spotify:artist:2Yb4UzrpqHzqO5ELOUACSe
B*Witched,spotify:artist:72eP0W3rIhkxd0NHGg4w4u
Balmorhea,spotify:artist:1U0FaHAc4fcwQcYEJFgkm9
Banda Los Sebastianes,spotify:artist:0HgICyWHmS6rnl8xWEd0x6
Banda Troyana,spotify:artist:4nU1ONcovj3AnmxDPmmNEu
Barbara Mandrell,spotify:artist:67BqBdApdbZ0onglFqRoTg
Bassjackers,spotify:artist:6xQvQwZQQuq9R3TdPNbcR8
Bear's Den,spotify:artist:0nJaMZM8paoA5HEUTUXPqi
Beatrice Eli,spotify:artist:1lzoEy8yiIBiHOuaO4h5Wj
Big Country,spotify:artist:1h8YIw9HLr6E8gdXVDRbVJ
Big Daddy Kane,spotify:artist:6futYSDVulYR2PktBjTB5W
Cousin Stizz,spotify:artist:0KpCz7V5XRkqKuM1JDf56O
Couzare,spotify:artist:5WOv4oHwhs2FT2larI0Gra
Coyote Kisses,spotify:artist:1wnrdpW8B0rNCtX5uOSIVL
Cracker,spotify:artist:0ODQJS4mk7rVBJXjdqByX6
Crash Kings,spotify:artist:08QZWYiCiN62cbBoq8JR5I
Cross Canadian Ragweed,spotify:artist:5Vz7hlMWR4OFye64dYoGm0
Crumb,spotify:artist:4kSGbjWGxTchKpIxXPJv0B
Current Swell,spotify:artist:1DCRoiKOntBEezKXznDca4
Cutting Crew,spotify:artist:3cniTumSiUysiPWXapGx1i
D Savage,spotify:artist:6FqXAd1hQl7vVdIQ3hhtgc
Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
Daley,spotify:artist:13UXMns4uwUrEpIzY79Qgw
