track_uri,frequency,track_name,artist_name
spotify:track:3xdjjKMcMOFgo1eQrfbogM,114,Wagon Wheel,Darius Rucker
spotify:track:03fT3OHB9KyMtGMt2zwqCT,114,Play It Again,Luke Bryan
spotify:track:12qZHAeOyTf93YAWvGDTat,114,All The Small Things,blink-182
spotify:track:7iL6o9tox1zgHpKUfh9vuC,113,In Da Club,50 Cent
spotify:track:0azC730Exh71aQlOt9Zj3y,111,This Is What You Came For,Calvin Harris
spotify:track:6WhzFzROw3aq3rPWjgYlxr,111,Gold,Kiiara
spotify:track:2ANLarE8yHVsLWW21nj79M,111,You Was Right,Lil Uzi Vert
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,110,That's What I Like,Bruno Mars
spotify:track:4jtyUzZm9WLc2AdaJ1dso7,110,0 To 100 / The Catch Up,Drake
spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,110,Hips Don't Lie,Shakira
spotify:track:7mldq42yDuxiUNn08nvzHO,110,Body Like A Back Road,Sam Hunt
spotify:track:6YbhspuOar1D9WSSnfe7ds,110,"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",Snoop Dogg
spotify:track:5mPSyjLatqB00IkPqRlbTE,109,Pop Style,Drake
spotify:track:6Ius4TC0L3cN74HT7ENE6e,109,Wet Dreamz,J. Cole
spotify:track:5CtI0qwDJkDQGwXD1H1cLb,109,Despacito - Remix,Luis Fonsi
spotify:track:0IqKeD8ZSP72KbGYyzEcAs,108,Take Me To Church,Hozier
spotify:track:7hDc8b7IXETo14hHIHdnhd,108,Passionfruit,Drake
spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,108,Slippery (feat. Gucci Mane),Migos
spotify:track:06iMqWThw4w8fTFyccvOwr,108,Ride Wit Me,Nelly
spotify:track:6F609ICg9Spjrw1epsAnpa,108,Controlla,Drake
spotify:track:7KOlJ92bu51cltsD9KU5I7,108,T-Shirt,Migos
spotify:track:7o2CTH4ctstm8TNelqjb51,107,Sweet Child O' Mine,Guns N' Roses
spotify:track:32OlwWuMpZ6b0aN2RZOeMS,107,Uptown Funk,Mark Ronson
spotify:track:6REbwUNlppTfcnV4d4ZoZi,107,Swimming Pools (Drank),Kendrick Lamar
spotify:track:5HGibWoxnkYSkl6mHmAlOE,107,That's My Kind Of Night,Luke Bryan
spotify:track:0B8QzDH7YWih85V5SEMnyJ,107,Money Longer,Lil Uzi Vert
spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,107,Tunnel Vision,Kodak Black
spotify:track:6ZYS6QQxTLsQ6IFXdVx1r4,107,Ophelia,The Lumineers
spotify:track:4llK75pXNWZz6KAho2Gp16,106,She Will Be Loved - Radio Mix,Maroon 5
spotify:track:3nAq2hCr1oWsIU54tS98pL,106,Waves,Kanye West
spotify:track:3ts6xK5GzfMAAriT9AIBmP,106,Barefoot Blue Jean Night,Jake Owen
spotify:track:2gam98EZKrF9XuOkU13ApN,106,Promiscuous,Nelly Furtado
spotify:track:4KW1lqgSr8TKrvBII0Brf8,105,Father Stretch My Hands Pt. 1,Kanye West
spotify:track:7w9bgPAmPTtrkt2v16QWvQ,105,Lose Yourself - Soundtrack Version,Eminem
spotify:track:1KGi9sZVMeszgZOWivFpxs,105,No Scrubs,TLC
spotify:track:6HZILIRieu8S0iqY8kIKhj,105,DNA.,Kendrick Lamar
spotify:track:4jTiyLlOJVJj3mCr7yfPQD,105,This Could Be Us,Rae Sremmurd
spotify:track:4OZEu0Vwq0RB2LAq14v99n,104,Middle,DJ Snake
spotify:track:3B54sVLJ402zGa6Xm4YGNe,104,Unforgettable,French Montana
spotify:track:5lFDtgWsjRJu8fPOAyJIAK,103,Back To Back,Drake
spotify:track:5ghIJDpPoe3CfHMGu71E6T,103,Smells Like Teen Spirit,Nirvana
spotify:track:31Q9ZTF9x81BDonlObCbvP,103,Forever,Drake
spotify:track:2LvRR121MWFmmEGkuV2vQP,103,HeadBand (feat. 2 Chainz),B.o.B
spotify:track:6RcQOut9fWL6FSqeIr5M1r,103,Hollaback Girl,Gwen Stefani
spotify:track:5OMwQFBcte0aWFJFqrr5oj,103,TiK ToK,Kesha
spotify:track:0BCy325UZyR9z0t0uxwn2N,102,H.O.L.Y.,Florida Georgia Line
spotify:track:4pdPtRcBmOSQDlJ3Fk945m,102,Let Me Love You,DJ Snake
spotify:track:4E5P1XyAFtrjpiIxkydly4,102,Replay,Iyaz
spotify:track:1f5cbQtDrykjarZVrShaDI,102,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie
spotify:track:7tr2za8SQg2CI8EDgrdtNl,101,Slide,Calvin Harris
spotify:track:6ihL9TjfRjadfEePzXXyVF,101,Gives You Hell,The All-American Rejects
spotify:track:3rbNV2GI8Vtd8byhUtXZID,101,Clique,JAY Z
spotify:track:6eYYm2xwrvdav2yakF3cqg,101,Leave The Night On,Sam Hunt
spotify:track:49zD0wr2S3d0lZPib0K4e1,101,F*ck Up Some Commas,Future
spotify:track:7H6ev70Weq6DdpZyyTmUXk,101,Say My Name,Destiny's Child
spotify:track:43PuMrRfbyyuz4QpZ3oAwN,100,Exchange,Bryson Tiller
spotify:track:0J6mQxEZnlRt9ymzFntA6z,100,Livin' On A Prayer,Bon Jovi
spotify:track:1yEwEiTpsaPhQi9lb5EVV4,100,Knee Deep (feat. Jimmy Buffett),Zac Brown Band
spotify:track:2TR7A4ulH9R1PNwMyd8o8U,100,This Is How We Roll,Florida Georgia Line
spotify:track:6mapJIPnQ23RTAevUoE0DL,100,Swang,Rae Sremmurd
spotify:track:5fVZC9GiM4e8vu99W0Xf6J,99,How to Save a Life,The Fray
spotify:track:1soxUgYIZb1qx1c7o1Lc7z,99,Drunk On A Plane,Dierks Bentley
spotify:track:1UZ25gykR30Oewh3dBRtVZ,99,Only,Nicki Minaj
spotify:track:4tCtwWceOPWzenK2HAIJSb,99,Work from Home,Fifth Harmony
spotify:track:6Ep6BzIOB9tz3P4sWqiiAB,98,Radioactive,Imagine Dragons
spotify:track:40yJGQyEaBbIkXpwMFkXip,98,One Night,Lil Yachty
spotify:track:7vWGeYZJUzBXKGPro05UXS,98,Take Your Time,Sam Hunt
spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,97,Drops of Jupiter,Train
spotify:track:2q4rjDy9WhaN3o9MvDbO21,97,Kiss Me Thru The Phone,Soulja Boy
spotify:track:2TfSHkHiFO4gRztVIkggkE,97,"Sugar, We're Goin Down",Fall Out Boy
spotify:track:6JV2JOEocMgcZxYSZelKcc,96,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
spotify:track:16qYlQ6koFxYVbiJbGHblz,96,G.O.M.D.,J. Cole
spotify:track:78WVLOP9pN0G3gRLFy1rAa,95,Piano Man,Billy Joel
spotify:track:0I3q5fE6wg7LIfHGngUTnV,95,Ms. Jackson,OutKast
spotify:track:5kjyiH6but1t2UDXq15aeS,95,Toes,Zac Brown Band
spotify:track:5qqabIl2vWzo9ApSC317sa,95,Wonderwall - Remastered,Oasis
spotify:track:70cTMpcgWMcR18t9MRJFjB,95,I Gotta Feeling,The Black Eyed Peas
spotify:track:6jdOi5U5LBzQrc4c1VT983,94,"Hold On, We're Going Home",Drake
spotify:track:66TRwr5uJwPt15mfFkzhbi,94,Crank That (Soulja Boy),Soulja Boy
spotify:track:4bPQs0PHn4xbipzdPfn6du,94,I Write Sins Not Tragedies,Panic! At The Disco
spotify:track:0PJIbOdMs3bd5AT8liULMQ,94,oui,Jeremih
spotify:track:2CvOqDpQIMw69cCzWqr5yr,94,Halo,Beyoncé
spotify:track:3fyMH1t6UPeR5croea9PrR,94,Best I Ever Had,Drake
spotify:track:0uMUvbkTdjBNZ5UuHZ5PIj,94,IV. sweatpants,Childish Gambino
spotify:track:4kNvYhyl8R6m1vykVkcuBu,94,All Me,Drake
spotify:track:0WqIKmW4BTrj3eJFmnCKMv,94,Crazy In Love,Beyoncé
spotify:track:3yrSvpt2l1xhsV9Em88Pul,93,Brown Eyed Girl,Van Morrison
spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,93,American Kids,Kenny Chesney
spotify:track:6V2D8Lls36APk0THDjBDfE,93,Started From the Bottom,Drake
spotify:track:3d9DChrdc6BOeFsbrZ3Is0,93,Under The Bridge,Red Hot Chili Peppers
spotify:track:2Fk0WwAqTBesLtKg97nojy,92,Crash And Burn,Thomas Rhett
spotify:track:60xaS8mYBKUW4VQQ666N0T,92,All Night (feat. Knox Fortune),Chance The Rapper
spotify:track:66hayvUbTotekKU3H4ta1f,92,Where Are Ü Now (with Justin Bieber),Jack Ü
spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,92,Young Dumb & Broke,Khalid
spotify:track:4r8lRYnoOGdEi6YyI5OC1o,92,Bye Bye Bye,*NSYNC
spotify:track:2Oehrcv4Kov0SuIgWyQY9e,92,Demons,Imagine Dragons
spotify:track:04KTF78FFg8sOHC1BADqbY,91,Hot In Herre,Nelly
spotify:track:5iSEsR6NKjlC9SrIJkyL3k,91,Pursuit Of Happiness (nightmare),Kid Cudi
spotify:track:1QEEqeFIZktqIpPI4jSVSF,91,More Than a Feeling,Boston
spotify:track:3b7CDTKB0SRTmQ6ytYi5vZ,91,Drunk On You,Luke Bryan
spotify:track:2NBQmPrOEEjA8VbeWOQGxO,91,Drop It Like It's Hot,Snoop Dogg
spotify:track:1kusepF3AacIEtUTYrw4GV,91,Paper Planes,M.I.A.
spotify:track:6rbeWjEavBHvX2kr6lSogS,91,Work Out,J. Cole
spotify:track:6s9ICeczYOfbHHIaSMq9jd,91,Get Your Shine On,Florida Georgia Line
spotify:track:1mea3bSkSGXuIRvnydlB5b,91,Viva La Vida,Coldplay
spotify:track:3pzjHKrQSvXGHQ98dx18HI,91,What Do You Mean?,Justin Bieber
spotify:track:3S0OXQeoh0w6AY8WQVckRW,91,I'm Yours,Jason Mraz
spotify:track:1WoOzgvz6CgH4pX6a1RKGp,91,My Way (feat. Monty),Fetty Wap
spotify:track:6TaqooOXAEcijL6G1AWS2K,90,All My Friends,Snakehips
spotify:track:0L7loeTIg6akW84aEQZpCT,90,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer
spotify:track:2NVt7fxr5GsqTkGwYXcNTE,90,"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
spotify:track:2y4lAQpi5VTNLu2ldeTdUH,90,We Can't Stop,Miley Cyrus
spotify:track:7129iqBafaphfc3WPCGC0L,90,7 Years,Lukas Graham
spotify:track:0wdKiSBUT7aZkXUIdJWcwC,90,2 Phones,Kevin Gates
spotify:track:1D066zixBwqFYqBhKgdPzp,90,Fergalicious,Fergie
spotify:track:1eyzqe2QqGZUmfcPZtrIyt,90,Midnight City,M83
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,90,POWER,Kanye West
spotify:track:0Dc7J9VPV4eOInoxUiZrsL,90,Don't Tell 'Em,Jeremih
spotify:track:7jslhIiELQkgW9IHeYNOWE,90,Big Rings,Drake
spotify:track:1WP1r7fuvRqZRnUaTi2I1Q,90,Stitches,Shawn Mendes
spotify:track:6fxVffaTuwjgEk5h9QyRjy,89,Photograph,Ed Sheeran
spotify:track:3gbBpTdY8lnQwqxNCcf795,89,Pompeii,Bastille
spotify:track:79XrkTOfV1AqySNjVlygpW,89,Energy,Drake
spotify:track:0Y0TOsE1q11qgbi7c5WZsG,89,R.I.C.O. (feat. Drake),Meek Mill
spotify:track:5edBgVtRD0fvWk140Sl21T,89,Counting Stars,OneRepublic
spotify:track:4RCWB3V8V0dignt99LZ8vH,89,Hey There Delilah,Plain White T's
spotify:track:6fAyRZ0GHuuvSOEIOwi58N,89,Backseat Freestyle,Kendrick Lamar
spotify:track:5lDriBxJd22IhOH9zTcFrV,89,Dirty Little Secret,The All-American Rejects
spotify:track:5MxNLUsfh7uzROypsoO5qe,89,Dream On,Aerosmith
spotify:track:2Z2vOukzwOgqR4dkymRSWd,89,Santeria,Sublime
spotify:track:7ID2dydg1QFuWObmdhwzfm,88,Earned It (Fifty Shades Of Grey),The Weeknd
spotify:track:2rzBvHM9h36Tpdj7Jdajka,88,Wild for the Night,A$AP Rocky
spotify:track:0jx8zY5JQsS4YEQcfkoc5C,88,Angels (feat. Saba),Chance The Rapper
spotify:track:5i66xrvSh1MjjyDd6zcwgj,88,Umbrella,Rihanna
spotify:track:5RsUlxLto4NZbhJpqJbHfN,88,Jessie's Girl,Rick Springfield
spotify:track:5nN8BwAQDJDguq7Dpd3JQQ,88,Where Ya At,Future
spotify:track:7DfFc7a6Rwfi3YQMRbDMau,88,Thinkin Bout You,Frank Ocean
spotify:track:0d8ZbnRoW1TJ3qEleTrYHH,88,I Want It That Way,Backstreet Boys
spotify:track:53gcDgFyqqpvCzXWrnFZpH,88,Heartless,Kanye West
spotify:track:27PmvZoffODNFW2p7ehZTQ,88,Don't Mind,Kent Jones
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,88,Sweater Weather,The Neighbourhood
spotify:track:08zJpaUQVi9FrKv2e32Bah,88,Planez,Jeremih
spotify:track:3ESSGgWzRf1xvP7G5hHMhB,88,Again,Fetty Wap
spotify:track:7uKcScNXuO3MWw6LowBjW1,88,"One, Two Step",Ciara
spotify:track:0fgZUSa7D7aVvv3GfO0A1n,88,Post To Be (feat. Chris Brown & Jhene Aiko),Omarion
spotify:track:10I3CmmwT0BkOVhduDy53o,87,Really Really,Kevin Gates
spotify:track:0z5ZPs57J2KERwM1tBM2GF,87,6 Foot 7 Foot,Lil Wayne
spotify:track:4Kz4RdRCceaA9VgTqBhBfa,87,The Motto,Drake
spotify:track:3rq5w4bQGigXOfdN30ATJt,87,Do I Wanna Know?,Arctic Monkeys
spotify:track:5yuShbu70mtHXY0yLzCQLQ,87,Go Flex,Post Malone
spotify:track:6LxSe8YmdPxy095Ux6znaQ,87,Headlines,Drake
spotify:track:6JY1IdkZGeIcPegKxjSKeb,87,Since U Been Gone,Kelly Clarkson
spotify:track:6jmTHeoWvBaSrwWttr8Xvu,87,I Mean It,G-Eazy
spotify:track:3bidbhpOYeV4knp8AIu8Xn,86,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis
spotify:track:1TKlBK9cSrM5u4CiL4SETS,86,Talladega,Eric Church
spotify:track:5lnsCyEKWofnC00U4Ax0ti,86,Bitch Better Have My Money,Rihanna
spotify:track:48UPSzbZjgc449aqz8bxox,86,Californication,Red Hot Chili Peppers
spotify:track:5vdp5UmvTsnMEMESIF2Ym7,86,Another One Bites The Dust - Remastered 2011,Queen
spotify:track:6g1NlCpW7fgqDnWbCCDrHl,86,Wake Me Up - Radio Edit,Avicii
spotify:track:00LfFm08VWeZwB0Zlm24AT,86,Suga Suga,Baby Bash
spotify:track:04DwTuZ2VBdJCCC5TROn7L,86,In the Name of Love,Martin Garrix
spotify:track:6qn9YLKt13AGvpq9jfO8py,86,We Found Love,Rihanna
spotify:track:6875MeXyCW0wLyT72Eetmo,86,Starving,Hailee Steinfeld
spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,85,Alright,Kendrick Lamar
spotify:track:1Je1IMUlBXcx1Fz0WE7oPT,85,Wannabe - Radio Edit,Spice Girls
spotify:track:5uCax9HTNlzGybIStD3vDh,85,Say You Won't Let Go,James Arthur
spotify:track:5SqSckut3FcoQKmGkMWgp1,85,Often,The Weeknd
spotify:track:7gKIt3rDGIMJDFVSPBnGmj,85,Super Bass,Nicki Minaj
spotify:track:2bjwRfXMk4uRgOD9IBYl9h,85,Portland,Drake
spotify:track:6yr8GiTHWvFfi4o6Q5ebdT,85,'Till I Collapse,Eminem
spotify:track:0LWQWOFoz5GJLqcHk1fRO2,85,Look At Me Now,Chris Brown
spotify:track:4Pwjz3DfvfQWV0rO2V8jyh,85,"Bitch, Don’t Kill My Vibe",Kendrick Lamar
spotify:track:7vRriwrloYVaoAe3a9wJHe,85,"i hate u, i love u (feat. olivia o'brien)",gnash
spotify:track:2LawezPeJhN4AWuSB0GtAU,85,Have You Ever Seen The Rain?,Creedence Clearwater Revival
spotify:track:1zWZvrk13cL8Sl3VLeG57F,84,T-Shirt,Thomas Rhett
spotify:track:7KwZNVEaqikRSBSpyhXK2j,84,Hypnotize - 2014 Remastered Version,The Notorious B.I.G.
spotify:track:3iL2l5gUqyPS6vDwJFgJTR,84,BedRock,Young Money
spotify:track:2N3F1EQCpnIeDOA3rLSAfE,84,Break Up In A Small Town,Sam Hunt
spotify:track:2kQuhkFX7uSVepCD3h29g5,84,Smack That - Dirty,Akon
spotify:track:0Fv5N0cHBsl4bzCbollCAS,84,Moves,Big Sean
spotify:track:7w87IxuO7BDcJ3YUqCyMTT,84,Pumped Up Kicks,Foster The People
spotify:track:6PGoSes0D9eUDeeAafB2As,84,LOVE. FEAT. ZACARI.,Kendrick Lamar
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,84,Iris,The Goo Goo Dolls
spotify:track:6vnDoUOHTiVB5DvX18tJon,84,Say It,Flume
spotify:track:5T6DM9qjjngWnukcw0svkX,83,Round Here,Florida Georgia Line
spotify:track:5HuqzFfq2ulY1iBAW5CxLe,83,Rather Be (feat. Jess Glynne),Clean Bandit
spotify:track:20LxTsa6936zOlzTWqoPVt,83,The Next Episode,Dr. Dre
spotify:track:5ZManJDV3CexO66nRCkdiV,83,Break Up with Him,Old Dominion
spotify:track:4O1CExxinEpKZi3861NlTK,83,Get Me Some Of That,Thomas Rhett
spotify:track:5FEXPoPnzueFJQCPRIrC3c,83,Day 'N' Nite (nightmare),Kid Cudi
spotify:track:7lL3MvFWFFSD25pBz72Agj,83,A Tale of 2 Citiez,J. Cole
spotify:track:5tz69p7tJuGPeMGwNTxYuV,83,1-800-273-8255,Logic
spotify:track:1OAh8uOEOvTDqkKFsKksCi,83,Wild Thoughts,DJ Khaled
spotify:track:1qwnPVOIJjAFfCc40Etb1D,82,Homegrown,Zac Brown Band
spotify:track:6qMXubogFdMrvVMJwqATzd,82,Jordan Belfort,Wes Walker
spotify:track:2ihCaVdNZmnHZWt0fvAM7B,82,Little Talks,Of Monsters and Men
spotify:track:3NxAG2ni1lLa8RKL6a0INc,82,Childs Play,Drake
spotify:track:5TqBAOIBe0bQA0spNdcG3k,82,For Free,DJ Khaled
spotify:track:7w5cxTEzp1rfV3KCy0Bd5N,82,Home,Edward Sharpe & The Magnetic Zeros
spotify:track:3VzJE6yGuj8fDExUh6TLnc,82,Candy Shop,50 Cent
spotify:track:4BGJSbB5rAcg4pNzD4gfxU,82,Tiny Dancer,Elton John
spotify:track:0dA2Mk56wEzDgegdC6R17g,82,Stay (with Alessia Cara),Zedd
spotify:track:1hGy2eLcmC8eKx7qr1tOqx,81,Beautiful Girls,Sean Kingston
spotify:track:2HbKqm4o0w5wEeEFXm2sD4,81,Money Trees,Kendrick Lamar
spotify:track:19gEmPjfqSZT0ulDRfjl0m,81,Hot N*gga,Bobby Shmurda
spotify:track:1IAzD1muglOxOcPbUHs70R,81,Whatever You Like,T.I.
spotify:track:2aFiaMXmWsM3Vj72F9ksBl,81,Cake By The Ocean,DNCE
spotify:track:5GXAXm5YOmYT0kL5jHvYBt,81,I Feel It Coming,The Weeknd
spotify:track:67T6l4q3zVjC5nZZPXByU8,80,Whatcha Say,Jason Derulo
spotify:track:5T8EDUDqKcs6OSOwEsfqG7,80,Don't Stop Me Now - Remastered,Queen
spotify:track:4o6BgsqLIBViaGVbx5rbRk,80,You Make My Dreams - Remastered,Daryl Hall & John Oates
spotify:track:3uhBIQ7tv8j1FME8cFGEfG,80,All of Me,John Legend
spotify:track:5SsR3wtCOafDmZgvIdRhSm,80,Man Of The Year,ScHoolboy Q
spotify:track:3eze1OsZ1rqeXkKStNfTmi,80,Juke Jam (feat. Justin Bieber & Towkio),Chance The Rapper
spotify:track:6vECYJHxYmm3Ydt3fF01pE,80,Stolen Dance,Milky Chance
spotify:track:0d6gYlrea7zwNsjfAh9Xba,80,Truffle Butter,Nicki Minaj
spotify:track:4dASQiO1Eoo3RJvt74FtXB,80,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne
